ID,accession,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU_13,GQ338948.1,98.947,95,1,0,1,95,1069,1163,1.91E-38,171
OTU_13,OR360222.1,98.925,93,1,0,3,95,303,395,2.47E-37,167
OTU_14,KY410951.1,97.849,93,2,0,1,93,2286,2378,1.11E-35,161
OTU_14,KY410952.1,97.849,93,1,1,1,93,2287,2378,4.00E-35,159
OTU_14,KY410950.1,96.703,91,3,0,3,93,2285,2375,6.69E-33,152
OTU_14,KY410953.1,95.699,93,4,0,1,93,2290,2382,2.41E-32,150
OTU_14,LR632920.1,85.714,91,10,2,3,93,2271,2358,4.11E-15,93.5
OTU_14,MK305281.1,85.714,84,9,2,10,93,2280,2360,6.88E-13,86.1
OTU_14,NC_018367.1,85.714,84,9,2,10,93,2281,2361,6.88E-13,86.1
OTU_14,NC_042243.1,83.333,84,11,2,10,93,2277,2357,1.49E-09,75
OTU_15,XR_006698753.1,98.936,94,1,0,1,94,1150,1243,6.76E-38,169
OTU_15,NC_026120.1,97.872,94,2,0,1,94,2244,2337,3.14E-36,163
OTU_15,OQ199570.1,96.809,94,3,0,1,94,2245,2338,1.46E-34,158
OTU_15,NC_026976.1,96.809,94,3,0,1,94,2780,2873,1.46E-34,158
OTU_15,NC_023795.1,96.809,94,3,0,1,94,2766,2859,1.46E-34,158
OTU_15,MW090144.1,96.809,94,3,0,1,94,63,156,1.46E-34,158
OTU_15,MW090143.1,96.809,94,3,0,1,94,63,156,1.46E-34,158
OTU_15,OQ199569.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_15,MT300243.1,95.745,94,4,0,1,94,2246,2339,6.81E-33,152
OTU_15,MT300207.1,95.745,94,4,0,1,94,2232,2325,6.81E-33,152
OTU_16,MF893969.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893967.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893966.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893965.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893964.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893963.1,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MT300207.1,100,94,0,0,1,94,2232,2325,1.45E-39,174
OTU_16,MT300205.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_16,MT300204.1,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_16,MT300203.1,100,94,0,0,1,94,2241,2334,1.45E-39,174
OTU_17,NG_077210.1,100,95,0,0,1,95,511,605,4.11E-40,176
OTU_17,AC244472.2,100,95,0,0,1,95,110226,110320,4.11E-40,176
OTU_17,AC239612.3,100,95,0,0,1,95,64738,64644,4.11E-40,176
OTU_17,NG_001333.2,100,95,0,0,1,95,501065,501159,4.11E-40,176
OTU_17,AC231380.2,100,95,0,0,1,95,112143,112049,4.11E-40,176
OTU_17,NG_023461.1,97.895,95,2,0,1,95,1225,1319,8.89E-37,165
OTU_17,FN674006.1,97.895,95,2,0,1,95,458,552,8.89E-37,165
OTU_17,NG_001337.2,97.895,95,2,0,1,95,52404,52498,8.89E-37,165
OTU_17,AF029308.1,97.895,95,2,0,1,95,52449,52543,8.89E-37,165
OTU_17,AL356489.14,97.895,95,2,0,1,95,3804,3898,8.89E-37,165
OTU_18,OK539643.1,100,95,0,0,1,95,2268,2362,4.11E-40,176
OTU_18,GQ338952.1,100,95,0,0,1,95,1062,1156,4.11E-40,176
OTU_18,AF107225.1,98.947,95,1,0,1,95,317,411,5.31E-39,172
OTU_18,KC576809.1,98.947,95,1,0,1,95,1158,1252,1.91E-38,171
OTU_18,CP071567.1,93.548,93,6,0,3,95,38190532,38190440,5.39E-29,139
OTU_18,KY682744.1,84.615,91,10,1,5,95,2990,3076,4.25E-15,93.5
OTU_19,NC_014858.1,90.426,94,6,3,1,94,2262,2352,1.92E-23,121
OTU_19,MT381942.1,88.298,94,9,1,1,94,2250,2341,1.16E-20,111
OTU_19,MT381933.1,88.298,94,8,3,1,94,2248,2338,4.15E-20,110
OTU_19,NC_014871.1,88.298,94,8,3,1,94,2261,2351,4.15E-20,110
OTU_19,NC_014864.1,87.368,95,7,4,1,94,2259,2349,1.93E-18,104
OTU_19,NC_014861.1,87.5,96,5,6,1,94,2259,2349,1.93E-18,104
OTU_19,EU366289.1,100,30,0,0,65,94,378,407,5.49E-04,56.5
OTU_19,DQ283376.1,100,30,0,0,65,94,2255,2284,5.49E-04,56.5
OTU_20,MN647518.1,94.118,102,6,0,1,102,318,419,5.96E-34,156
OTU_20,NC_066800.1,94.118,102,6,0,1,102,2290,2391,5.96E-34,156
OTU_20,NC_040858.1,94,100,6,0,1,100,2280,2379,7.71E-33,152
OTU_20,MN356434.1,94,100,6,0,1,100,2293,2392,7.71E-33,152
OTU_20,MN356134.1,94,100,6,0,1,100,2294,2393,7.71E-33,152
OTU_20,GQ264671.1,94,100,6,0,1,100,2215,2314,7.71E-33,152
OTU_20,GQ264658.1,94,100,6,0,1,100,2224,2323,7.71E-33,152
OTU_20,GQ264657.1,94,100,6,0,1,100,2224,2323,7.71E-33,152
OTU_20,NC_029189.1,93,100,7,0,1,100,2288,2387,3.59E-31,147
OTU_20,GQ264685.1,93,100,7,0,1,100,2219,2318,3.59E-31,147
OTU_21,OR459774.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459773.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459772.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459771.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459770.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459769.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459768.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459767.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459764.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459763.1,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_22,OP921772.1,100,93,0,0,1,93,2257,2349,5.14E-39,172
OTU_22,LC742379.1,100,93,0,0,1,93,2634,2726,5.14E-39,172
OTU_22,MT237632.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,MT237631.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,MT237630.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,MT237629.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,MT237628.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,MT237627.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,MT237626.1,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,NC_057438.1,100,93,0,0,1,93,2636,2728,5.14E-39,172
OTU_23,NG_023152.1,100,91,0,0,1,91,1183,1273,6.42E-38,169
OTU_23,AL590396.13,100,91,0,0,1,91,45838,45748,6.42E-38,169
OTU_23,NG_023471.3,98.901,91,1,0,1,91,1207,1297,2.99E-36,163
OTU_24,KY464177.1,98.901,91,1,0,1,91,2208,2298,2.99E-36,163
OTU_24,NC_036729.1,98.901,91,1,0,1,91,2258,2348,2.99E-36,163
OTU_24,MT259586.1,96.703,91,3,0,1,91,14946,14856,6.47E-33,152
OTU_24,MN964112.1,96.703,91,3,0,1,91,2254,2344,6.47E-33,152
OTU_24,KY464171.1,96.703,91,3,0,1,91,2257,2347,6.47E-33,152
OTU_24,NC_036727.1,96.703,91,3,0,1,91,2259,2349,6.47E-33,152
OTU_24,NC_035818.1,96.703,91,3,0,1,91,14952,14862,6.47E-33,152
OTU_24,JQ843689.1,96.703,91,3,0,1,91,319,409,6.47E-33,152
OTU_24,OR431874.1,95.604,91,4,0,1,91,302,392,3.01E-31,147
OTU_24,OR431873.1,95.604,91,4,0,1,91,302,392,3.01E-31,147
OTU_25,NG_047090.1,100,86,0,0,1,86,12754,12669,3.53E-35,159
OTU_25,NG_077247.1,100,86,0,0,1,86,298,383,3.53E-35,159
OTU_25,CP068258.2,100,86,0,0,1,86,59136597,59136512,3.53E-35,159
OTU_25,AP023480.1,100,86,0,0,1,86,55425389,55425304,3.53E-35,159
OTU_25,AL135939.12,100,86,0,0,1,86,65788,65703,3.53E-35,159
OTU_26,AC004979.1,100,91,0,0,1,91,58857,58767,6.42E-38,169
OTU_26,AC192008.2,96.703,91,3,0,1,91,140641,140731,6.47E-33,152
OTU_26,XM_023225755.2,92.308,91,7,0,1,91,1285,1375,3.03E-26,130
OTU_26,NG_027496.2,92.308,91,7,0,1,91,1190,1280,3.03E-26,130
OTU_26,AF420061.1,92.308,91,7,0,1,91,1414,1504,3.03E-26,130
OTU_26,AF420060.1,92.308,91,7,0,1,91,1414,1504,3.03E-26,130
OTU_26,AF420056.1,92.308,91,7,0,1,91,1438,1528,3.03E-26,130
OTU_26,AF420055.1,92.308,91,7,0,1,91,1396,1486,3.03E-26,130
OTU_26,AF420054.1,92.308,91,7,0,1,91,1396,1486,3.03E-26,130
OTU_26,AY603037.1,92.308,91,7,0,1,91,834,924,3.03E-26,130
OTU_27,NM_001193627.2,100,91,0,0,1,91,1130,1220,6.42E-38,169
OTU_27,NG_077212.1,100,91,0,0,1,91,1229,1319,6.42E-38,169
OTU_27,FN674020.1,100,91,0,0,1,91,275,365,6.42E-38,169
OTU_27,AL121927.24,100,91,0,0,1,91,87535,87445,6.42E-38,169
OTU_27,AF420058.1,94.048,84,5,0,1,84,1414,1497,1.09E-25,128
OTU_27,AY603036.1,94.048,84,5,0,1,84,810,893,1.09E-25,128
OTU_27,AC198105.2,90.11,91,9,0,1,91,63862,63772,6.56E-23,119
OTU_28,NG_077258.1,100,94,0,0,1,94,1246,1339,1.45E-39,174
OTU_28,FN674025.1,100,94,0,0,1,94,119,212,1.45E-39,174
OTU_28,NG_012041.1,100,94,0,0,1,94,62355,62262,1.45E-39,174
OTU_28,AC021914.7,100,94,0,0,1,94,45451,45544,1.45E-39,174
OTU_28,XM_019036682.3,98.936,94,1,0,1,94,4093,4000,6.76E-38,169
OTU_28,XM_055355448.1,98.936,94,1,0,1,94,4745,4652,6.76E-38,169
OTU_28,XM_055355447.1,98.936,94,1,0,1,94,4840,4747,6.76E-38,169
OTU_28,XM_019036681.3,98.936,94,1,0,1,94,4657,4564,6.76E-38,169
OTU_28,XM_004050691.4,98.936,94,1,0,1,94,4970,4877,6.76E-38,169
OTU_28,XM_055355446.1,98.936,94,1,0,1,94,5024,4931,6.76E-38,169
OTU_29,MZ041129.1,100,94,0,0,1,94,319,412,1.45E-39,174
OTU_29,AC214843.3,97.872,94,2,0,1,94,27203,27110,3.14E-36,163
OTU_29,MZ041130.1,96.809,94,3,0,1,94,319,412,1.46E-34,158
OTU_29,MZ041121.1,96.809,94,3,0,1,94,319,412,1.46E-34,158
OTU_29,MZ041132.1,89.362,94,10,0,1,94,321,414,6.90E-23,119
OTU_29,KC757406.1,89.13,92,10,0,1,92,2276,2367,8.93E-22,115
OTU_30,ON746674.1,100,92,0,0,1,92,2248,2339,1.82E-38,171
OTU_30,NC_068695.1,100,92,0,0,1,92,2248,2339,1.82E-38,171
OTU_30,JF795308.1,95.652,92,4,0,1,92,1233,1324,8.51E-32,148
OTU_30,JF795307.1,95.652,92,4,0,1,92,1233,1324,8.51E-32,148
OTU_30,JF795317.1,86.316,95,6,5,1,91,1233,1324,3.13E-16,97.1
OTU_30,JF795312.1,86.316,95,6,5,1,91,2186,2277,3.13E-16,97.1
OTU_31,NG_077259.1,98.901,91,1,0,1,91,746,836,2.99E-36,163
OTU_31,AL158819.14,98.901,91,1,0,1,91,2827,2737,2.99E-36,163
OTU_31,NM_001193606.2,96.703,91,3,0,1,91,1097,1187,6.47E-33,152
OTU_31,AC280474.1,96.703,91,3,0,1,91,161345,161435,6.47E-33,152
OTU_31,AC280428.1,96.703,91,3,0,1,91,25234,25324,6.47E-33,152
OTU_31,AC280422.1,96.703,91,3,0,1,91,37257,37167,6.47E-33,152
OTU_31,AC197159.2,96.703,91,3,0,1,91,20302,20392,6.47E-33,152
OTU_31,XM_010375475.2,95.455,88,4,0,1,88,643,730,1.40E-29,141
OTU_31,XM_011963766.1,95.455,88,4,0,1,88,697,784,1.40E-29,141
OTU_31,AC280485.1,94.318,88,5,0,1,88,154051,154138,6.51E-28,135
OTU_33,NM_001194967.1,100,94,0,0,1,94,1127,1220,1.45E-39,174
OTU_33,AY360298.1,96.809,94,3,0,1,94,231,138,1.46E-34,158
OTU_33,OQ199584.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199583.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199582.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199581.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199580.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199579.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199578.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_33,OQ199577.1,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_34,NG_027492.2,97.872,94,2,0,1,94,624,717,3.14E-36,163
OTU_34,NM_001195073.3,91.579,95,6,2,1,94,1111,1204,3.19E-26,130
OTU_34,MZ040959.1,89.362,94,10,0,1,94,321,414,6.90E-23,119
OTU_34,MZ040948.1,89.362,94,10,0,1,94,321,414,6.90E-23,119
OTU_34,MZ040939.1,89.362,94,10,0,1,94,321,414,6.90E-23,119
OTU_34,MZ040937.1,89.362,94,10,0,1,94,321,414,6.90E-23,119
OTU_34,MZ041115.1,89.362,94,10,0,1,94,321,414,6.90E-23,119
OTU_34,AC225831.5,88.298,94,11,0,1,94,13194,13287,3.21E-21,113
OTU_34,AC207616.3,88.298,94,11,0,1,94,100698,100791,3.21E-21,113
OTU_34,U39012.1,87.234,94,12,0,1,94,314,407,1.49E-19,108
OTU_35,OX638390.1,87.755,49,2,4,25,71,12961167,12961213,0.002,54.7
OTU_36,NG_023471.3,96.667,90,3,0,2,91,1208,1297,2.33E-32,150
OTU_36,NG_023152.1,95.556,90,4,0,2,91,1184,1273,1.08E-30,145
OTU_36,AL590396.13,95.556,90,4,0,2,91,45837,45748,1.08E-30,145
OTU_37,XM_011959258.1,86.17,94,11,1,1,92,1141,1234,2.42E-17,100
OTU_37,KU682697.1,83.529,85,12,1,10,92,2253,2337,1.13E-10,78.7
OTU_37,KJ193021.1,83.529,85,12,1,10,92,328,412,1.13E-10,78.7
OTU_37,KJ193017.1,83.529,85,12,1,10,92,328,412,1.13E-10,78.7
OTU_37,JQ256913.1,83.529,85,12,1,10,92,2252,2336,1.13E-10,78.7
OTU_37,JQ256910.1,83.529,85,12,1,10,92,2252,2336,1.13E-10,78.7
OTU_37,EF597503.1,83.529,85,12,1,10,92,2206,2290,1.13E-10,78.7
OTU_37,AF420040.1,83.529,85,12,1,10,92,1413,1497,1.13E-10,78.7
OTU_37,AF435515.1,81.915,94,15,2,1,92,290,383,1.13E-10,78.7
OTU_37,KJ193019.1,82.353,85,13,1,10,92,328,412,5.27E-09,73.1
OTU_38,NM_001195058.2,100,94,0,0,1,94,1143,1236,1.45E-39,174
OTU_38,NM_001195073.3,88.298,94,11,0,1,94,1111,1204,3.21E-21,113
OTU_38,NG_027509.3,88.043,92,10,1,3,94,1235,1325,1.49E-19,108
OTU_38,AC213900.3,86.17,94,13,0,1,94,17965,18058,6.95E-18,102
OTU_38,MZ040940.1,87.209,86,11,0,9,94,324,409,8.99E-17,99
OTU_38,NG_027492.2,85.106,94,14,0,1,94,624,717,3.23E-16,97.1
OTU_40,AF420060.1,92.308,91,6,1,1,90,1414,1504,1.07E-25,128
OTU_41,MZ040959.1,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,MZ040948.1,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,MZ040939.1,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,MZ040937.1,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,MZ041115.1,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,AC225831.5,95.745,94,4,0,1,94,13194,13287,6.81E-33,152
OTU_41,AC207616.3,95.745,94,4,0,1,94,100698,100791,6.81E-33,152
OTU_41,KC757406.1,94.565,92,5,0,1,92,2276,2367,4.10E-30,143
OTU_41,NM_001195073.3,93.617,94,6,0,1,94,1111,1204,1.47E-29,141
OTU_41,MZ041127.1,93.617,94,6,0,1,94,318,411,1.47E-29,141
OTU_42,CP068261.2,100,91,0,0,1,91,19549593,19549683,6.42E-38,169
OTU_42,AP023477.1,100,91,0,0,1,91,19781294,19781384,6.42E-38,169
OTU_42,AC025627.13,100,91,0,0,1,91,130609,130699,6.42E-38,169
OTU_42,XM_028836112.1,94.118,85,5,0,1,85,1132,1216,3.03E-26,130
OTU_42,NG_203433.1,92.308,91,7,0,1,91,1050,1140,3.03E-26,130
OTU_42,XM_011717647.1,92.308,91,7,0,1,91,991,1081,3.03E-26,130
OTU_42,NG_077248.1,92.308,91,7,0,1,91,1001,1091,3.03E-26,130
OTU_42,CP068262.2,92.308,91,7,0,1,91,3398416,3398326,3.03E-26,130
OTU_42,AP023476.1,92.308,91,7,0,1,91,3410798,3410708,3.03E-26,130
OTU_42,AC225171.3,92.308,91,7,0,1,91,3174,3264,3.03E-26,130
OTU_43,EU621808.1,98.98,98,1,0,1,98,199,296,4.31E-40,176
OTU_43,MZ914590.1,88.421,95,11,0,4,98,269,363,9.53E-22,115
OTU_44,NC_040292.1,100,110,0,0,1,110,2279,2388,2.35E-48,204
OTU_44,KY436589.1,99.091,110,1,0,1,110,2279,2388,1.09E-46,198
OTU_44,KC977312.1,99.091,110,1,0,1,110,2279,2388,1.09E-46,198
OTU_44,GQ253662.1,99.091,110,1,0,1,110,1167,1276,1.09E-46,198
OTU_44,FJ640066.1,99.091,110,1,0,1,110,1169,1278,1.09E-46,198
OTU_44,AY773981.1,99.091,110,1,0,1,110,288,397,1.09E-46,198
OTU_44,AF212952.1,98.182,110,2,0,1,110,106,215,5.08E-45,193
OTU_44,NC_021958.1,98.182,110,1,1,1,110,2278,2386,1.83E-44,191
OTU_44,GQ253664.1,97.273,110,3,0,1,110,1169,1278,2.36E-43,187
OTU_44,NC_002765.1,97.273,110,2,1,1,110,2278,2386,8.50E-43,185
OTU_46,AC097526.3,100,92,0,0,1,92,54852,54761,1.82E-38,171
OTU_46,FN674038.1,88.043,92,10,1,1,92,238,328,1.44E-19,108
OTU_46,AL583743.3,88.043,92,10,1,1,92,23523,23613,1.44E-19,108
