,ID,accession,ssciname,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
312,OTU_74,CT841529.2,Pan troglodytes,97.849,93,2,0,1,93,145542,145634,1.11E-35,161
196,OTU_43,EU621808.1,Varanus bengalensis,98.98,98,1,0,1,98,199,296,4.31E-40,176
341,OTU_93,FN674006.1,Homo sapiens,98.947,95,1,0,1,95,458,552,1.91E-38,171
129,OTU_27,FN674020.1,Homo sapiens,100,91,0,0,1,91,275,365,6.42E-38,169
131,OTU_28,FN674025.1,Homo sapiens,100,94,0,0,1,94,119,212,1.45E-39,174
78,OTU_181,FN674038.1,Homo sapiens,100,91,0,0,1,91,238,328,6.42E-38,169
344,OTU_94,FN674048.1,Homo sapiens,100,74,0,0,26,99,1,74,2.06E-28,137
229,OTU_50,GQ338946.1,Sus celebensis,98.936,94,1,0,1,94,1069,1162,6.76E-38,169
31,OTU_13,GQ338949.1,Potamochoerus porcus,100,95,0,0,1,95,1069,1163,4.11E-40,176
76,OTU_18,GQ338952.1,Babyrousa babyrussa,100,95,0,0,1,95,1062,1156,4.11E-40,176
143,OTU_291,HG994395.1,Canis lupus,96.739,92,3,0,1,92,15332240,15332149,1.83E-33,154
264,OTU_60,HG994395.1,Canis lupus,100,92,0,0,1,92,15332240,15332149,1.82E-38,171
86,OTU_188,JF795308.1,Tupaia glis,94.318,88,5,0,5,92,1237,1324,6.63E-28,135
146,OTU_295,JF795308.1,Tupaia glis,94.565,92,4,1,1,91,1233,1324,1.40E-29,141
152,OTU_30,JF795308.1,Tupaia glis,95.652,92,4,0,1,92,1233,1324,8.51E-32,148
228,OTU_50,JN601070.1,,98.936,94,1,0,1,94,2262,2355,6.76E-38,169
133,OTU_281,JN800721.1,,98.889,90,1,0,3,92,2272,2361,1.09E-35,161
260,OTU_6,JN800721.1,,97.849,93,2,0,1,93,2269,2361,1.11E-35,161
66,OTU_164,KC757406.1,,95.745,94,4,0,1,94,2276,2369,6.81E-33,152
205,OTU_44,KC977312.1,,99.091,110,1,0,1,110,2279,2388,1.09E-46,198
30,OTU_13,KJ193191.1,,100,95,0,0,1,95,321,415,4.11E-40,176
4,OTU_10,KJ698653.1,,100,94,0,0,1,94,209,302,1.45E-39,174
295,OTU_701,KJ721821.1,,96.25,80,3,0,1,80,232,311,6.95E-27,132
322,OTU_810,KT587372.1,,97.872,94,2,0,1,94,2833,2926,3.14E-36,163
321,OTU_810,KT587454.1,,97.872,94,2,0,1,94,2833,2926,3.14E-36,163
302,OTU_719,KU739458.1,,95.506,89,4,0,1,89,13004,12916,3.75E-30,143
297,OTU_701,KU739459.1,,92.5,80,6,0,1,80,12932,12853,7.00E-22,115
300,OTU_71,KY410899.1,,96.739,92,3,0,1,92,2275,2366,1.83E-33,154
336,OTU_9,KY410899.1,,100,92,0,0,1,92,2275,2366,1.82E-38,171
299,OTU_71,KY410900.1,,96.739,92,3,0,1,92,2276,2367,1.83E-33,154
335,OTU_9,KY410900.1,,100,92,0,0,1,92,2276,2367,1.82E-38,171
37,OTU_14,KY410950.1,,96.703,91,3,0,3,93,2285,2375,6.69E-33,152
35,OTU_14,KY410951.1,,97.849,93,2,0,1,93,2286,2378,1.11E-35,161
36,OTU_14,KY410952.1,,97.849,93,1,1,1,93,2287,2378,4.00E-35,159
14,OTU_11,KY410992.1,,91.304,92,7,1,1,92,2260,2350,1.43E-24,124
204,OTU_44,KY436589.1,,99.091,110,1,0,1,110,2279,2388,1.09E-46,198
63,OTU_163,KY464177.1,,95.699,93,2,1,1,93,2208,2298,8.66E-32,148
112,OTU_24,KY464177.1,,98.901,91,1,0,1,91,2208,2298,2.99E-36,163
230,OTU_513,KY824825.1,,98.901,91,1,0,3,93,2831,2921,3.09E-36,163
320,OTU_8,LC060940.1,,93.617,94,6,0,1,94,2263,2356,1.47E-29,141
117,OTU_244,LC433813.1,,90.426,94,9,0,1,94,314,407,1.48E-24,124
247,OTU_55,LC433813.1,,91.489,94,8,0,1,94,314,407,3.19E-26,130
116,OTU_244,LC433817.2,,90.426,94,9,0,1,94,96,189,1.48E-24,124
246,OTU_55,LC433817.2,,91.489,94,8,0,1,94,96,189,3.19E-26,130
104,OTU_22,LC742379.1,,100,93,0,0,1,93,2634,2726,5.14E-39,172
153,OTU_304,LK110930.1,,96.809,94,3,0,1,94,739,646,1.46E-34,158
318,OTU_8,LN873134.1,,98.936,94,1,0,1,94,15285,15192,6.76E-38,169
154,OTU_304,LT629868.1,,95.745,94,4,0,1,94,106678,106771,6.81E-33,152
155,OTU_304,LT629868.1,,95.745,94,4,0,1,94,131629,131536,6.81E-33,152
185,OTU_4,MF177025.1,,100,92,0,0,1,92,2254,2345,1.82E-38,171
184,OTU_4,MF177026.1,,100,92,0,0,1,92,2240,2331,1.82E-38,171
183,OTU_4,MF177027.1,,100,92,0,0,1,92,2256,2347,1.82E-38,171
279,OTU_64,MF893899.1,,95.745,94,4,0,1,94,2246,2339,6.81E-33,152
87,OTU_189,MF893916.1,,97.872,94,2,0,1,94,2247,2340,3.14E-36,163
59,OTU_16,MF893966.1,,100,94,0,0,1,94,2246,2339,1.45E-39,174
238,OTU_525,MF893966.1,,98.901,91,1,0,1,91,2246,2336,3.09E-36,163
58,OTU_16,MF893967.1,,100,94,0,0,1,94,2246,2339,1.45E-39,174
237,OTU_525,MF893967.1,,98.901,91,1,0,1,91,2246,2336,3.09E-36,163
57,OTU_16,MF893969.1,,100,94,0,0,1,94,2246,2339,1.45E-39,174
236,OTU_525,MF893969.1,,98.901,91,1,0,1,91,2246,2336,3.09E-36,163
149,OTU_3,MF893987.1,,100,94,0,0,1,94,2245,2338,1.45E-39,174
285,OTU_655,MF893987.1,,98.913,92,1,0,3,94,2247,2338,8.74E-37,165
339,OTU_923,MF893987.1,,98.876,89,1,0,1,89,2245,2333,4.07E-35,159
148,OTU_3,MF893988.1,,100,94,0,0,1,94,2245,2338,1.45E-39,174
284,OTU_655,MF893988.1,,98.913,92,1,0,3,94,2247,2338,8.74E-37,165
338,OTU_923,MF893988.1,,98.876,89,1,0,1,89,2245,2333,4.07E-35,159
147,OTU_3,MF893989.1,,100,94,0,0,1,94,2245,2338,1.45E-39,174
283,OTU_655,MF893989.1,,98.913,92,1,0,3,94,2247,2338,8.74E-37,165
337,OTU_923,MF893989.1,,98.876,89,1,0,1,89,2245,2333,4.07E-35,159
301,OTU_719,MF944145.1,,100,89,0,0,1,89,237,325,8.01E-37,165
34,OTU_137,MG250533.1,,98.947,95,0,1,1,94,3517,3611,6.76E-38,169
288,OTU_67,MG250533.1,,100,94,0,0,2,95,3518,3611,1.48E-39,174
33,OTU_137,MG250534.1,,98.947,95,0,1,1,94,3517,3611,6.76E-38,169
287,OTU_67,MG250534.1,,100,94,0,0,2,95,3518,3611,1.48E-39,174
96,OTU_2,MG250542.1,,100,94,0,0,1,94,3517,3610,1.45E-39,174
108,OTU_221,MG250542.1,,98.925,93,0,1,2,93,3518,3610,8.60E-37,165
32,OTU_137,MG250566.1,,98.947,95,0,1,1,94,3517,3611,6.76E-38,169
286,OTU_67,MG250566.1,,100,94,0,0,2,95,3518,3611,1.48E-39,174
323,OTU_810,MG272710.1,,97.872,94,2,0,1,94,2828,2921,3.14E-36,163
94,OTU_2,MG725631.1,,100,94,0,0,1,94,2816,2909,1.45E-39,174
106,OTU_221,MG725631.1,,98.925,93,0,1,2,93,2817,2909,8.60E-37,165
5,OTU_10,MG996894.1,,98.936,94,1,0,1,94,20,113,6.76E-38,169
199,OTU_432,MH444414.1,,98.936,94,0,1,1,93,2827,2920,2.39E-37,167
198,OTU_432,MH444415.1,,98.936,94,0,1,1,93,2828,2921,2.39E-37,167
197,OTU_432,MN192057.1,,98.936,94,0,1,1,93,773,866,2.39E-37,167
97,OTU_20,MN647518.1,,94.118,102,6,0,1,102,318,419,5.96E-34,156
272,OTU_63,MN816304.1,,96.667,90,3,0,1,90,2263,2352,2.28E-32,150
105,OTU_22,MT237632.1,,100,93,0,0,1,93,2261,2353,5.14E-39,172
114,OTU_24,MT259586.1,,96.703,91,3,0,1,91,14946,14856,6.47E-33,152
51,OTU_147,MT259588.1,,90.526,95,5,4,1,93,13272,13364,5.25E-24,122
352,OTU_97,MT300243.1,,97.872,94,2,0,1,94,2246,2339,3.14E-36,163
353,OTU_97,MT300246.1,,97.826,92,2,0,3,94,2248,2339,4.07E-35,159
303,OTU_719,MT908115.1,,95.506,89,4,0,1,89,250,338,3.75E-30,143
6,OTU_10,MW257219.1,,97.872,94,2,0,1,94,2265,2358,3.14E-36,163
188,OTU_403,MW703459.1,,98.925,93,0,1,1,92,243,335,8.45E-37,165
290,OTU_69,MW703459.1,,100,93,0,0,1,93,243,335,5.14E-39,172
187,OTU_403,MW703460.1,,98.925,93,0,1,1,92,243,335,8.45E-37,165
289,OTU_69,MW703460.1,,100,93,0,0,1,93,243,335,5.14E-39,172
192,OTU_41,MZ040939.1,,96.809,94,3,0,1,94,321,414,1.46E-34,158
19,OTU_112,MZ040940.1,,93.023,86,6,0,9,94,324,409,4.13E-25,126
235,OTU_52,MZ040940.1,,93.023,86,5,1,9,93,324,409,1.46E-24,124
68,OTU_164,MZ040948.1,,93.478,92,6,0,1,92,321,412,1.91E-28,137
191,OTU_41,MZ040948.1,,96.809,94,3,0,1,94,321,414,1.46E-34,158
67,OTU_164,MZ040959.1,,93.478,92,6,0,1,92,321,412,1.91E-28,137
190,OTU_41,MZ040959.1,,96.809,94,3,0,1,94,321,414,1.46E-34,158
62,OTU_162,MZ041116.1,,98.936,94,1,0,1,94,318,411,6.76E-38,169
61,OTU_162,MZ041117.1,,98.936,94,1,0,1,94,318,411,6.76E-38,169
48,OTU_144,MZ041121.1,,95.745,94,4,0,1,94,319,412,6.81E-33,152
249,OTU_56,MZ041122.1,,100,91,0,0,1,91,318,408,6.42E-38,169
60,OTU_162,MZ041127.1,,100,94,0,0,1,94,318,411,1.45E-39,174
115,OTU_244,MZ041128.1,,98.936,94,1,0,1,94,320,413,6.76E-38,169
245,OTU_55,MZ041128.1,,97.872,94,2,0,1,94,320,413,3.14E-36,163
46,OTU_144,MZ041129.1,,96.809,94,3,0,1,94,319,412,1.46E-34,158
138,OTU_29,MZ041129.1,,100,94,0,0,1,94,319,412,1.45E-39,174
47,OTU_144,MZ041130.1,,95.745,94,4,0,1,94,319,412,6.81E-33,152
140,OTU_29,MZ041130.1,,96.809,94,3,0,1,94,319,412,1.46E-34,158
134,OTU_281,NC_004031.1,,97.778,90,2,0,3,92,2272,2361,5.09E-34,156
261,OTU_6,NC_004031.1,,96.774,93,3,0,1,93,2269,2361,5.17E-34,156
294,OTU_70,NC_010166.1,,97.248,109,3,0,1,109,1856,1964,8.39E-43,185
90,OTU_19,NC_014858.1,,90.426,94,6,3,1,94,2262,2352,1.92E-23,121
319,OTU_8,NC_020753.1,,97.872,94,2,0,1,94,2261,2354,3.14E-36,163
292,OTU_70,NC_022154.1,,100,109,0,0,1,109,26811,26703,8.33E-48,202
89,OTU_189,NC_023795.1,,97.872,94,2,0,1,94,2766,2859,3.14E-36,163
227,OTU_50,NC_024860.1,,98.936,94,1,0,1,94,3304,3397,6.76E-38,169
41,OTU_141,NC_026120.1,,96.809,94,3,0,1,94,2244,2337,1.46E-34,158
53,OTU_15,NC_026120.1,,97.872,94,2,0,1,94,2244,2337,3.14E-36,163
315,OTU_79,NC_026120.1,,96.809,94,3,0,1,94,2244,2337,1.46E-34,158
271,OTU_63,NC_026465.1,,100,90,0,0,1,90,2269,2358,2.27E-37,167
43,OTU_141,NC_026976.1,,95.745,94,4,0,1,94,2780,2873,6.81E-33,152
351,OTU_97,NC_026976.1,,97.872,94,2,0,1,94,2780,2873,3.14E-36,163
298,OTU_71,NC_035815.1,,96.739,92,3,0,1,92,2438,2529,1.83E-33,154
334,OTU_9,NC_035815.1,,100,92,0,0,1,92,2438,2529,1.82E-38,171
50,OTU_147,NC_035822.1,,93.103,87,3,3,5,91,2351,2434,1.46E-24,124
293,OTU_70,NC_036103.1,,97.248,109,3,0,1,109,3769,3877,8.39E-43,185
64,OTU_163,NC_036729.1,,95.699,93,2,1,1,93,2258,2348,8.66E-32,148
113,OTU_24,NC_036729.1,,98.901,91,1,0,1,91,2258,2348,2.99E-36,163
95,OTU_2,NC_039090.1,,100,94,0,0,1,94,2776,2869,1.45E-39,174
107,OTU_221,NC_039090.1,,98.925,93,0,1,2,93,2777,2869,8.60E-37,165
203,OTU_44,NC_040292.1,,100,110,0,0,1,110,2279,2388,2.35E-48,204
99,OTU_20,NC_040858.1,,94,100,6,0,1,100,2280,2379,7.71E-33,152
49,OTU_147,NC_056988.1,,93.333,90,3,3,5,93,2264,2351,3.14E-26,130
98,OTU_20,NC_066800.1,,94.118,102,6,0,1,102,2290,2391,5.96E-34,156
85,OTU_188,NC_068695.1,,98.864,88,1,0,5,92,2252,2339,1.41E-34,158
145,OTU_295,NC_068695.1,,98.913,92,0,1,1,91,2248,2339,2.99E-36,163
151,OTU_30,NC_068695.1,,100,92,0,0,1,92,2248,2339,1.82E-38,171
342,OTU_93,NG_001337.2,,98.947,95,1,0,1,95,52404,52498,1.91E-38,171
132,OTU_28,NG_012041.1,,100,94,0,0,1,94,62355,62262,1.45E-39,174
73,OTU_175,NG_016423.2,,98.851,87,1,0,1,87,304408,304322,4.65E-34,156
109,OTU_23,NG_023152.1,,100,91,0,0,1,91,1183,1273,6.42E-38,169
176,OTU_36,NG_023152.1,,95.556,90,4,0,2,91,1184,1273,1.08E-30,145
340,OTU_93,NG_023461.1,,98.947,95,1,0,1,95,1225,1319,1.91E-38,171
239,OTU_53,NG_023462.4,,90.526,95,9,0,1,95,1329,1423,4.19E-25,126
111,OTU_23,NG_023471.3,,98.901,91,1,0,1,91,1207,1297,2.99E-36,163
175,OTU_36,NG_023471.3,,96.667,90,3,0,2,91,1208,1297,2.33E-32,150
326,OTU_87,NG_023475.4,,97.802,91,2,0,1,91,1212,1302,1.39E-34,158
22,OTU_115,NG_027492.2,,92.632,95,5,2,1,94,624,717,6.85E-28,135
44,OTU_142,NG_027492.2,,96.809,94,3,0,1,94,624,717,1.46E-34,158
55,OTU_152,NG_027492.2,,98.837,86,1,0,13,98,632,717,2.02E-33,154
168,OTU_34,NG_027492.2,,97.872,94,2,0,1,94,624,717,3.14E-36,163
174,OTU_353,NG_027492.2,,91.579,95,6,2,1,94,624,717,3.19E-26,130
26,OTU_126,NG_027497.3,,100,97,0,0,1,97,1223,1319,3.28E-41,180
248,OTU_56,NG_027507.2,,100,91,0,0,1,91,1203,1293,6.42E-38,169
327,OTU_87,NG_027507.2,,96.703,91,3,0,1,91,1203,1293,6.47E-33,152
20,OTU_112,NG_027509.3,,90.217,92,8,1,3,94,1235,1325,6.90E-23,119
233,OTU_52,NG_027509.3,,100,93,0,0,1,93,1233,1325,5.14E-39,172
136,OTU_284,NG_029631.2,,97.872,94,2,0,1,94,521,614,3.14E-36,163
118,OTU_25,NG_047090.1,,100,86,0,0,1,86,12754,12669,3.53E-35,159
69,OTU_17,NG_077210.1,,100,95,0,0,1,95,511,605,4.11E-40,176
128,OTU_27,NG_077212.1,,100,91,0,0,1,91,1229,1319,6.42E-38,169
217,OTU_47,NG_077217.1,,100,94,0,0,1,94,943,1036,1.45E-39,174
119,OTU_25,NG_077247.1,,100,86,0,0,1,86,298,383,3.53E-35,159
130,OTU_28,NG_077258.1,,100,94,0,0,1,94,1246,1339,1.45E-39,174
162,OTU_31,NG_077259.1,,98.901,91,1,0,1,91,746,836,2.99E-36,163
164,OTU_31,NM_001193606.2,,96.703,91,3,0,1,91,1097,1187,6.47E-33,152
127,OTU_27,NM_001193627.2,,100,91,0,0,1,91,1130,1220,6.42E-38,169
165,OTU_33,NM_001194967.1,,100,94,0,0,1,94,1127,1220,1.45E-39,174
242,OTU_54,NM_001194967.1,,94.681,94,5,0,1,94,1127,1220,3.17E-31,147
10,OTU_109,NM_001195043.2,,96.809,94,3,0,1,94,855,948,1.46E-34,158
280,OTU_65,NM_001195043.2,,97.872,94,2,0,1,94,855,948,3.14E-36,163
181,OTU_38,NM_001195058.2,,100,94,0,0,1,94,1143,1236,1.45E-39,174
21,OTU_115,NM_001195073.3,,98.936,94,1,0,1,94,1111,1204,6.76E-38,169
45,OTU_142,NM_001195073.3,,92.632,95,5,2,1,94,1111,1204,6.85E-28,135
56,OTU_152,NM_001195073.3,,91.954,87,5,2,13,98,1119,1204,2.05E-23,121
169,OTU_34,NM_001195073.3,,91.579,95,6,2,1,94,1111,1204,3.19E-26,130
173,OTU_353,NM_001195073.3,,97.872,94,2,0,1,94,1111,1204,3.14E-36,163
206,OTU_442,OC914826.1,,93.269,104,7,0,1,104,341448,341345,2.21E-33,154
273,OTU_63,OK163841.1,,94.444,90,5,0,1,90,2266,2355,4.95E-29,139
75,OTU_18,OK539643.1,,100,95,0,0,1,95,2268,2362,4.11E-40,176
277,OTU_64,OM502028.1,,100,94,0,0,1,94,1177131,1177038,1.45E-39,174
84,OTU_188,ON746674.1,,98.864,88,1,0,5,92,2252,2339,1.41E-34,158
144,OTU_295,ON746674.1,,98.913,92,0,1,1,91,2248,2339,2.99E-36,163
150,OTU_30,ON746674.1,,100,92,0,0,1,92,2248,2339,1.82E-38,171
12,OTU_109,OP088126.1,,94.681,94,5,0,1,94,294,387,3.17E-31,147
29,OTU_13,OP088335.1,,100,95,0,0,1,95,306,400,4.11E-40,176
189,OTU_403,OP575307.1,,98.925,93,0,1,1,92,2702,2794,8.45E-37,165
291,OTU_69,OP575307.1,,100,93,0,0,1,93,2702,2794,5.14E-39,172
209,OTU_451,OP718247.1,,98.925,93,1,0,1,93,2826,2918,2.43E-37,167
103,OTU_22,OP921772.1,,100,93,0,0,1,93,2257,2349,5.14E-39,172
278,OTU_64,OQ199568.1,,96.809,94,3,0,1,94,2253,2346,1.46E-34,158
42,OTU_141,OQ199570.1,,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
54,OTU_15,OQ199570.1,,96.809,94,3,0,1,94,2245,2338,1.46E-34,158
88,OTU_189,OQ199570.1,,97.872,94,2,0,1,94,2245,2338,3.14E-36,163
316,OTU_79,OQ199570.1,,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
11,OTU_109,OQ199571.1,,94.681,94,5,0,1,94,2249,2342,3.17E-31,147
244,OTU_54,OQ199583.1,,93.617,94,6,0,1,94,2245,2338,1.47E-29,141
167,OTU_33,OQ199584.1,,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
243,OTU_54,OQ199584.1,,93.617,94,6,0,1,94,2245,2338,1.47E-29,141
40,OTU_140,OQ199663.1,,98.936,94,1,0,1,94,2243,2336,6.76E-38,169
39,OTU_140,OQ199664.1,,98.936,94,1,0,1,94,2243,2336,6.76E-38,169
38,OTU_140,OQ199665.1,,98.936,94,1,0,1,94,2243,2336,6.76E-38,169
282,OTU_65,OQ199735.1,,93.617,94,6,0,1,94,2244,2337,1.47E-29,141
281,OTU_65,OQ199736.1,,93.617,94,6,0,1,94,2244,2337,1.47E-29,141
93,OTU_192,OQ199746.1,,97.849,93,2,0,2,94,2246,2338,1.13E-35,161
92,OTU_192,OQ199747.1,,97.849,93,2,0,2,94,2247,2339,1.13E-35,161
65,OTU_163,OQ708102.1,,93.548,93,4,2,1,93,298,388,1.87E-28,137
208,OTU_451,OQ731953.1,,98.925,93,1,0,1,93,2828,2920,2.43E-37,167
207,OTU_451,OQ731981.1,,98.925,93,1,0,1,93,2828,2920,2.43E-37,167
9,OTU_104,OR129837.1,,100,92,0,0,1,92,2249,2340,1.82E-38,171
8,OTU_104,OR129838.1,,100,92,0,0,1,92,2216,2307,1.82E-38,171
356,OTU_99,OR269156.1,,100,101,0,0,1,101,2308,2408,2.08E-43,187
355,OTU_99,OR269157.1,,100,101,0,0,1,101,2308,2408,2.08E-43,187
354,OTU_99,OR269158.1,,100,101,0,0,1,101,2308,2408,2.08E-43,187
306,OTU_72,OR327026.1,,100,86,0,0,1,86,2263,2348,3.53E-35,159
305,OTU_72,OR327027.1,,100,86,0,0,1,86,2263,2348,3.53E-35,159
304,OTU_72,OR327028.1,,100,86,0,0,1,86,2263,2348,3.53E-35,159
17,OTU_111,OR360214.1,,98.913,92,0,1,1,91,289,380,2.99E-36,163
25,OTU_12,OR360214.1,,100,92,0,0,1,92,289,380,1.82E-38,171
16,OTU_111,OR360227.1,,98.913,92,0,1,1,91,289,380,2.99E-36,163
24,OTU_12,OR360227.1,,100,92,0,0,1,92,289,380,1.82E-38,171
126,OTU_260,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
180,OTU_374,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
202,OTU_439,OR360233.1,,98.925,93,1,0,2,94,302,394,2.43E-37,167
212,OTU_455,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
216,OTU_467,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
223,OTU_497,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
267,OTU_616,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
270,OTU_626,OR360233.1,,100,91,0,0,1,91,301,391,6.65E-38,169
276,OTU_634,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
330,OTU_888,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
350,OTU_965,OR360233.1,,97.872,94,2,0,1,94,301,394,3.14E-36,163
15,OTU_111,OR360243.1,,98.913,92,0,1,1,91,289,380,2.99E-36,163
23,OTU_12,OR360243.1,,100,92,0,0,1,92,289,380,1.82E-38,171
226,OTU_5,OR371515.1,,100,102,0,0,1,102,3548,3649,5.88E-44,189
225,OTU_5,OR371516.1,,100,102,0,0,1,102,3548,3649,5.88E-44,189
125,OTU_260,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
179,OTU_374,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
201,OTU_439,OR397961.1,,98.925,93,1,0,2,94,2264,2356,2.43E-37,167
211,OTU_455,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
215,OTU_467,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
222,OTU_497,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
266,OTU_616,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
269,OTU_626,OR397961.1,,100,91,0,0,1,91,2263,2353,6.65E-38,169
