ID,accession,ssciname,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
OTU_112,NG_027509.3,Macaca mulatta,90.217,92,8,1,3,94,1235,1325,6.90E-23,119
OTU_115,NG_027492.2,Macaca mulatta,92.632,95,5,2,1,94,624,717,6.85E-28,135
OTU_115,NM_001195073.3,Macaca mulatta,98.936,94,1,0,1,94,1111,1204,6.76E-38,169
OTU_12,OR360214.1,Bos taurus,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360227.1,Bos taurus,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_12,OR360243.1,Bos taurus,100,92,0,0,1,92,289,380,1.82E-38,171
OTU_126,AC200082.7,Macaca mulatta,100,97,0,0,1,97,112627,112531,3.28E-41,180
OTU_126,AC202616.8,Macaca mulatta,100,97,0,0,1,97,67561,67465,3.28E-41,180
OTU_126,NG_027497.3,Macaca mulatta,100,97,0,0,1,97,1223,1319,3.28E-41,180
OTU_13,GQ338949.1,Potamochoerus porcus,100,95,0,0,1,95,1069,1163,4.11E-40,176
OTU_13,KJ193191.1,Potamochoerus porcus,100,95,0,0,1,95,321,415,4.11E-40,176
OTU_13,OP088335.1,Potamochoerus porcus,100,95,0,0,1,95,306,400,4.11E-40,176
OTU_137,MG250533.1,Sus scrofa,98.947,95,0,1,1,94,3517,3611,6.76E-38,169
OTU_137,MG250534.1,Sus scrofa,98.947,95,0,1,1,94,3517,3611,6.76E-38,169
OTU_137,MG250566.1,Sus scrofa,98.947,95,0,1,1,94,3517,3611,6.76E-38,169
OTU_14,KY410950.1,Sundasciurus tenuis,96.703,91,3,0,3,93,2285,2375,6.69E-33,152
OTU_14,KY410951.1,Sundasciurus tenuis,97.849,93,2,0,1,93,2286,2378,1.11E-35,161
OTU_14,KY410952.1,Sundasciurus tenuis,97.849,93,1,1,1,93,2287,2378,4.00E-35,159
OTU_140,OQ199663.1,Macaca mulatta,98.936,94,1,0,1,94,2243,2336,6.76E-38,169
OTU_140,OQ199664.1,Macaca mulatta,98.936,94,1,0,1,94,2243,2336,6.76E-38,169
OTU_140,OQ199665.1,Macaca mulatta,98.936,94,1,0,1,94,2243,2336,6.76E-38,169
OTU_141,NC_026120.1,Macaca nigra,96.809,94,3,0,1,94,2244,2337,1.46E-34,158
OTU_141,NC_026976.1,Macaca nemestrina,95.745,94,4,0,1,94,2780,2873,6.81E-33,152
OTU_141,OQ199570.1,Macaca assamensis,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_142,NG_027492.2,Macaca mulatta,96.809,94,3,0,1,94,624,717,1.46E-34,158
OTU_142,NM_001195073.3,Macaca mulatta,92.632,95,5,2,1,94,1111,1204,6.85E-28,135
OTU_144,MZ041121.1,Macaca mulatta,95.745,94,4,0,1,94,319,412,6.81E-33,152
OTU_144,MZ041129.1,Macaca mulatta,96.809,94,3,0,1,94,319,412,1.46E-34,158
OTU_144,MZ041130.1,Macaca mulatta,95.745,94,4,0,1,94,319,412,6.81E-33,152
OTU_147,MT259588.1,Maxomys whiteheadi,90.526,95,5,4,1,93,13272,13364,5.25E-24,122
OTU_147,NC_035822.1,Niviventer cremoriventer,93.103,87,3,3,5,91,2351,2434,1.46E-24,124
OTU_147,NC_056988.1,Maxomys ochraceiventer,93.333,90,3,3,5,93,2264,2351,3.14E-26,130
OTU_15,NC_026120.1,Macaca nigra,97.872,94,2,0,1,94,2244,2337,3.14E-36,163
OTU_15,OQ199570.1,Macaca assamensis,96.809,94,3,0,1,94,2245,2338,1.46E-34,158
OTU_15,XR_006698753.1,PREDICTED: Macaca fascicularis,98.936,94,1,0,1,94,1150,1243,6.76E-38,169
OTU_152,NG_027492.2,Macaca mulatta,98.837,86,1,0,13,98,632,717,2.02E-33,154
OTU_152,NM_001195073.3,Macaca mulatta,91.954,87,5,2,13,98,1119,1204,2.05E-23,121
OTU_16,MF893966.1,Macaca fascicularis,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893967.1,Macaca fascicularis,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_16,MF893969.1,Macaca fascicularis,100,94,0,0,1,94,2246,2339,1.45E-39,174
OTU_162,MZ041116.1,Nycticebus coucang,98.936,94,1,0,1,94,318,411,6.76E-38,169
OTU_162,MZ041117.1,Nycticebus coucang,98.936,94,1,0,1,94,318,411,6.76E-38,169
OTU_162,MZ041127.1,Macaca mulatta,100,94,0,0,1,94,318,411,1.45E-39,174
OTU_163,KY464177.1,Sundamys annandalei,95.699,93,2,1,1,93,2208,2298,8.66E-32,148
OTU_163,NC_036729.1,Sundamys annandalei,95.699,93,2,1,1,93,2258,2348,8.66E-32,148
OTU_163,OQ708102.1,Rattus rattus,93.548,93,4,2,1,93,298,388,1.87E-28,137
OTU_164,KC757406.1,Papio anubis,95.745,94,4,0,1,94,2276,2369,6.81E-33,152
OTU_164,MZ040948.1,Rhinopithecus roxellana,93.478,92,6,0,1,92,321,412,1.91E-28,137
OTU_164,MZ040959.1,Rhinopithecus roxellana,93.478,92,6,0,1,92,321,412,1.91E-28,137
OTU_17,AC239612.3,Homo sapiens,100,95,0,0,1,95,64738,64644,4.11E-40,176
OTU_17,AC244472.2,Homo sapiens,100,95,0,0,1,95,110226,110320,4.11E-40,176
OTU_17,NG_077210.1,Homo sapiens,100,95,0,0,1,95,511,605,4.11E-40,176
OTU_175,AP002829.3,Homo sapiens,100,87,0,0,1,87,969,883,9.99E-36,161
OTU_175,AP003461.2,Homo sapiens,98.851,87,1,0,1,87,15365,15279,4.65E-34,156
OTU_175,NG_016423.2,Homo sapiens,98.851,87,1,0,1,87,304408,304322,4.65E-34,156
OTU_18,AF107225.1,Babyrousa babyrussa,98.947,95,1,0,1,95,317,411,5.31E-39,172
OTU_18,GQ338952.1,Babyrousa babyrussa,100,95,0,0,1,95,1062,1156,4.11E-40,176
OTU_18,OK539643.1,Babyrousa babyrussa,100,95,0,0,1,95,2268,2362,4.11E-40,176
OTU_181,AL390802.2,Homo sapiens,100,91,0,0,1,91,103116,103206,6.42E-38,169
OTU_181,AL583743.3,Homo sapiens,100,91,0,0,1,91,23523,23613,6.42E-38,169
OTU_181,FN674038.1,Homo sapiens,100,91,0,0,1,91,238,328,6.42E-38,169
OTU_185,OX459945.2,Rangifer tarandus platyrhyncus,94.565,92,2,2,1,90,37021955,37022045,4.95E-29,139
OTU_185,OX596093.1,Rangifer tarandus platyrhyncus,94.565,92,2,2,1,90,34703336,34703426,4.95E-29,139
OTU_185,XR_005718911.1,PREDICTED: Oryx dammah,96.471,85,1,1,1,83,87,3,4.95E-29,139
OTU_188,JF795308.1,Tupaia glis,94.318,88,5,0,5,92,1237,1324,6.63E-28,135
OTU_188,NC_068695.1,Tupaia glis,98.864,88,1,0,5,92,2252,2339,1.41E-34,158
OTU_188,ON746674.1,Tupaia glis,98.864,88,1,0,5,92,2252,2339,1.41E-34,158
OTU_189,MF893916.1,Macaca fascicularis,97.872,94,2,0,1,94,2247,2340,3.14E-36,163
OTU_189,NC_023795.1,Macaca assamensis,97.872,94,2,0,1,94,2766,2859,3.14E-36,163
OTU_189,OQ199570.1,Macaca assamensis,97.872,94,2,0,1,94,2245,2338,3.14E-36,163
OTU_19,NC_014858.1,Rattus lutreolus,90.426,94,6,3,1,94,2262,2352,1.92E-23,121
OTU_192,AY360309.1,Macaca mulatta,98.925,93,1,0,2,94,230,138,2.43E-37,167
OTU_192,OQ199746.1,Macaca mulatta,97.849,93,2,0,2,94,2246,2338,1.13E-35,161
OTU_192,OQ199747.1,Macaca fascicularis,97.849,93,2,0,2,94,2247,2339,1.13E-35,161
OTU_2,MG250542.1,Sus scrofa,100,94,0,0,1,94,3517,3610,1.45E-39,174
OTU_2,MG725631.1,Sus scrofa cristatus,100,94,0,0,1,94,2816,2909,1.45E-39,174
OTU_2,NC_039090.1,Sus scrofa cristatus,100,94,0,0,1,94,2776,2869,1.45E-39,174
OTU_20,MN647518.1,Haliastur indus,94.118,102,6,0,1,102,318,419,5.96E-34,156
OTU_20,NC_040858.1,Haliaeetus albicilla,94,100,6,0,1,100,2280,2379,7.71E-33,152
OTU_20,NC_066800.1,Haliastur indus,94.118,102,6,0,1,102,2290,2391,5.96E-34,156
OTU_21,OR459772.1,Ovis aries,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459773.1,Ovis aries,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_21,OR459774.1,Ovis aries,100,92,0,0,1,92,2269,2360,1.82E-38,171
OTU_22,LC742379.1,Bubalus bubalis,100,93,0,0,1,93,2634,2726,5.14E-39,172
OTU_22,MT237632.1,Bubalus bubalis,100,93,0,0,1,93,2261,2353,5.14E-39,172
OTU_22,OP921772.1,Bubalus bubalis,100,93,0,0,1,93,2257,2349,5.14E-39,172
OTU_221,MG250542.1,Sus scrofa,98.925,93,0,1,2,93,3518,3610,8.60E-37,165
OTU_221,MG725631.1,Sus scrofa cristatus,98.925,93,0,1,2,93,2817,2909,8.60E-37,165
OTU_221,NC_039090.1,Sus scrofa cristatus,98.925,93,0,1,2,93,2777,2869,8.60E-37,165
OTU_23,AL590396.13,Homo sapiens,100,91,0,0,1,91,45838,45748,6.42E-38,169
OTU_23,NG_023152.1,Homo sapiens,100,91,0,0,1,91,1183,1273,6.42E-38,169
OTU_23,NG_023471.3,Pan troglodytes,98.901,91,1,0,1,91,1207,1297,2.99E-36,163
OTU_24,KY464177.1,Sundamys annandalei,98.901,91,1,0,1,91,2208,2298,2.99E-36,163
OTU_24,MT259586.1,Sundamys muelleri,96.703,91,3,0,1,91,14946,14856,6.47E-33,152
OTU_24,NC_036729.1,Sundamys annandalei,98.901,91,1,0,1,91,2258,2348,2.99E-36,163
OTU_244,LC433813.1,Macaca fuscata,90.426,94,9,0,1,94,314,407,1.48E-24,124
OTU_244,LC433817.2,Macaca fuscata,90.426,94,9,0,1,94,96,189,1.48E-24,124
OTU_244,MZ041128.1,Macaca mulatta,98.936,94,1,0,1,94,320,413,6.76E-38,169
OTU_25,CP068258.2,Homo sapiens,100,86,0,0,1,86,59136597,59136512,3.53E-35,159
OTU_25,NG_047090.1,Homo sapiens,100,86,0,0,1,86,12754,12669,3.53E-35,159
OTU_25,NG_077247.1,Homo sapiens,100,86,0,0,1,86,298,383,3.53E-35,159
OTU_26,AC004979.1,Homo sapiens,100,91,0,0,1,91,58857,58767,6.42E-38,169
OTU_26,AC192008.2,Pan troglodytes,96.703,91,3,0,1,91,140641,140731,6.47E-33,152
OTU_26,XM_023225755.2,PREDICTED: Piliocolobus tephrosceles,92.308,91,7,0,1,91,1285,1375,3.03E-26,130
OTU_260,OR360233.1,Sus scrofa,97.872,94,2,0,1,94,301,394,3.14E-36,163
OTU_260,OR397961.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_260,OR397962.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_27,FN674020.1,Homo sapiens,100,91,0,0,1,91,275,365,6.42E-38,169
OTU_27,NG_077212.1,Homo sapiens,100,91,0,0,1,91,1229,1319,6.42E-38,169
OTU_27,NM_001193627.2,Pan troglodytes,100,91,0,0,1,91,1130,1220,6.42E-38,169
OTU_28,FN674025.1,Homo sapiens,100,94,0,0,1,94,119,212,1.45E-39,174
OTU_28,NG_012041.1,Homo sapiens,100,94,0,0,1,94,62355,62262,1.45E-39,174
OTU_28,NG_077258.1,Homo sapiens,100,94,0,0,1,94,1246,1339,1.45E-39,174
OTU_281,JN800721.1,Galeopterus variegatus,98.889,90,1,0,3,92,2272,2361,1.09E-35,161
OTU_281,NC_004031.1,Galeopterus variegatus,97.778,90,2,0,3,92,2272,2361,5.09E-34,156
OTU_284,AC255528.1,Homo sapiens,97.872,94,2,0,1,94,85575,85482,3.14E-36,163
OTU_284,AL356135.11,Homo sapiens,97.872,94,2,0,1,94,40702,40795,3.14E-36,163
OTU_284,NG_029631.2,Homo sapiens,97.872,94,2,0,1,94,521,614,3.14E-36,163
OTU_29,AC214843.3,Macaca mulatta,97.872,94,2,0,1,94,27203,27110,3.14E-36,163
OTU_29,MZ041129.1,Macaca mulatta,100,94,0,0,1,94,319,412,1.45E-39,174
OTU_29,MZ041130.1,Macaca mulatta,96.809,94,3,0,1,94,319,412,1.46E-34,158
OTU_291,CP050569.1,Canis lupus familiaris,96.739,92,3,0,1,92,13521257,13521166,1.83E-33,154
OTU_291,CP050620.1,Canis lupus familiaris,96.739,92,3,0,1,92,13523582,13523491,1.83E-33,154
OTU_291,HG994395.1,Canis lupus,96.739,92,3,0,1,92,15332240,15332149,1.83E-33,154
OTU_295,JF795308.1,Tupaia glis,94.565,92,4,1,1,91,1233,1324,1.40E-29,141
OTU_295,NC_068695.1,Tupaia glis,98.913,92,0,1,1,91,2248,2339,2.99E-36,163
OTU_295,ON746674.1,Tupaia glis,98.913,92,0,1,1,91,2248,2339,2.99E-36,163
OTU_3,MF893987.1,Macaca fascicularis,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893988.1,Macaca fascicularis,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_3,MF893989.1,Macaca fascicularis,100,94,0,0,1,94,2245,2338,1.45E-39,174
OTU_30,JF795308.1,Tupaia glis,95.652,92,4,0,1,92,1233,1324,8.51E-32,148
OTU_30,NC_068695.1,Tupaia glis,100,92,0,0,1,92,2248,2339,1.82E-38,171
OTU_30,ON746674.1,Tupaia glis,100,92,0,0,1,92,2248,2339,1.82E-38,171
OTU_304,LK110930.1,Apteryx australis mantelli,96.809,94,3,0,1,94,739,646,1.46E-34,158
OTU_304,LT629868.1,Cochlearia aestuaria,95.745,94,4,0,1,94,106678,106771,6.81E-33,152
OTU_304,LT629868.1,Cochlearia aestuaria,95.745,94,4,0,1,94,131629,131536,6.81E-33,152
OTU_305,AC239395.3,Homo sapiens,95.604,91,4,0,3,93,130290,130200,3.11E-31,147
OTU_305,AL030997.1,Homo sapiens,95.604,91,4,0,3,93,23066,23156,3.11E-31,147
OTU_305,CT841529.2,Pan troglodytes,93.407,91,6,0,3,93,145544,145634,6.74E-28,135
OTU_307,OU744361.1,Lasioglossum lativentre,93.617,94,5,1,3,96,23932634,23932726,5.48E-29,139
OTU_307,OU744361.1,Lasioglossum lativentre,93.617,94,5,1,3,96,26354710,26354618,5.48E-29,139
OTU_307,OU744366.1,Lasioglossum lativentre,93.617,94,5,1,3,96,7353145,7353053,5.48E-29,139
OTU_31,AL158819.14,Homo sapiens,98.901,91,1,0,1,91,2827,2737,2.99E-36,163
OTU_31,NG_077259.1,Homo sapiens,98.901,91,1,0,1,91,746,836,2.99E-36,163
OTU_31,NM_001193606.2,Pan troglodytes,96.703,91,3,0,1,91,1097,1187,6.47E-33,152
OTU_33,AY360298.1,Macaca mulatta,96.809,94,3,0,1,94,231,138,1.46E-34,158
OTU_33,NM_001194967.1,Macaca mulatta,100,94,0,0,1,94,1127,1220,1.45E-39,174
OTU_33,OQ199584.1,Macaca mulatta,95.745,94,4,0,1,94,2245,2338,6.81E-33,152
OTU_34,NG_027492.2,Macaca mulatta,97.872,94,2,0,1,94,624,717,3.14E-36,163
OTU_34,NM_001195073.3,Macaca mulatta,91.579,95,6,2,1,94,1111,1204,3.19E-26,130
OTU_343,OX421408.1,Lochmaea capreae,100,82,0,0,1,82,28949525,28949444,5.56E-33,152
OTU_343,OX421408.1,Lochmaea capreae,98.78,82,1,0,1,82,29067582,29067663,2.59E-31,147
OTU_343,OY757318.1,Stenurella melanura,98.78,82,1,0,1,82,19900974,19900893,2.59E-31,147
OTU_353,NG_027492.2,Macaca mulatta,91.579,95,6,2,1,94,624,717,3.19E-26,130
OTU_353,NM_001195073.3,Macaca mulatta,97.872,94,2,0,1,94,1111,1204,3.14E-36,163
OTU_36,AL590396.13,Homo sapiens,95.556,90,4,0,2,91,45837,45748,1.08E-30,145
OTU_36,NG_023152.1,Homo sapiens,95.556,90,4,0,2,91,1184,1273,1.08E-30,145
OTU_36,NG_023471.3,Pan troglodytes,96.667,90,3,0,2,91,1208,1297,2.33E-32,150
OTU_374,OR360233.1,Sus scrofa,97.872,94,2,0,1,94,301,394,3.14E-36,163
OTU_374,OR397961.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_374,OR397962.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_38,NM_001195058.2,Macaca mulatta,100,94,0,0,1,94,1143,1236,1.45E-39,174
OTU_392,XM_023046776.1,PREDICTED: Onthophagus taurus,92.683,82,6,0,1,82,295,376,6.21E-23,119
OTU_4,MF177025.1,Rusa unicolor,100,92,0,0,1,92,2254,2345,1.82E-38,171
OTU_4,MF177026.1,Rusa unicolor,100,92,0,0,1,92,2240,2331,1.82E-38,171
OTU_4,MF177027.1,Rusa unicolor,100,92,0,0,1,92,2256,2347,1.82E-38,171
OTU_40,AF420060.1,Pygathrix nemaeus,92.308,91,6,1,1,90,1414,1504,1.07E-25,128
OTU_403,MW703459.1,Elephas maximus,98.925,93,0,1,1,92,243,335,8.45E-37,165
OTU_403,MW703460.1,Elephas maximus,98.925,93,0,1,1,92,243,335,8.45E-37,165
OTU_403,OP575307.1,Elephas maximus,98.925,93,0,1,1,92,2702,2794,8.45E-37,165
OTU_41,MZ040939.1,Rhinopithecus roxellana,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,MZ040948.1,Rhinopithecus roxellana,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_41,MZ040959.1,Rhinopithecus roxellana,96.809,94,3,0,1,94,321,414,1.46E-34,158
OTU_42,AC025627.13,Homo sapiens,100,91,0,0,1,91,130609,130699,6.42E-38,169
OTU_42,AP023477.1,Homo sapiens,100,91,0,0,1,91,19781294,19781384,6.42E-38,169
OTU_42,CP068261.2,Homo sapiens,100,91,0,0,1,91,19549593,19549683,6.42E-38,169
OTU_43,EU621808.1,Varanus bengalensis,98.98,98,1,0,1,98,199,296,4.31E-40,176
OTU_432,MH444414.1,Homo sapiens,98.936,94,0,1,1,93,2827,2920,2.39E-37,167
OTU_432,MH444415.1,Homo sapiens,98.936,94,0,1,1,93,2828,2921,2.39E-37,167
OTU_432,MN192057.1,Homo sapiens,98.936,94,0,1,1,93,773,866,2.39E-37,167
OTU_439,OR360233.1,Sus scrofa,98.925,93,1,0,2,94,302,394,2.43E-37,167
OTU_439,OR397961.1,Sus scrofa,98.925,93,1,0,2,94,2264,2356,2.43E-37,167
OTU_439,OR397962.1,Sus scrofa,98.925,93,1,0,2,94,2264,2356,2.43E-37,167
OTU_44,KC977312.1,Nycticebus bengalensis,99.091,110,1,0,1,110,2279,2388,1.09E-46,198
OTU_44,KY436589.1,Nycticebus bengalensis,99.091,110,1,0,1,110,2279,2388,1.09E-46,198
OTU_44,NC_040292.1,Nycticebus coucang insularis,100,110,0,0,1,110,2279,2388,2.35E-48,204
OTU_442,OC914826.1,Oppiella nova,93.269,104,7,0,1,104,341448,341345,2.21E-33,154
OTU_451,OP718247.1,Homo sapiens,98.925,93,1,0,1,93,2826,2918,2.43E-37,167
OTU_451,OQ731953.1,Homo sapiens,98.925,93,1,0,1,93,2828,2920,2.43E-37,167
OTU_451,OQ731981.1,Homo sapiens,98.925,93,1,0,1,93,2828,2920,2.43E-37,167
OTU_455,OR360233.1,Sus scrofa,97.872,94,2,0,1,94,301,394,3.14E-36,163
OTU_455,OR397961.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_455,OR397962.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_46,AC097526.3,Homo sapiens,100,92,0,0,1,92,54852,54761,1.82E-38,171
OTU_467,OR360233.1,Sus scrofa,97.872,94,2,0,1,94,301,394,3.14E-36,163
OTU_467,OR397961.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_467,OR397962.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_47,AC091134.7,Homo sapiens,100,94,0,0,1,94,135186,135093,1.45E-39,174
OTU_47,CP068261.2,Homo sapiens,100,94,0,0,1,94,23212463,23212556,1.45E-39,174
OTU_47,NG_077217.1,Homo sapiens,100,94,0,0,1,94,943,1036,1.45E-39,174
OTU_491,AY131544.1,Paragymnopleurus sp.,93.75,80,5,0,4,83,301,380,1.60E-23,121
OTU_497,OR360233.1,Sus scrofa,97.872,94,2,0,1,94,301,394,3.14E-36,163
OTU_497,OR397961.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_497,OR397962.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_5,OR371515.1,Gallus gallus,100,102,0,0,1,102,3548,3649,5.88E-44,189
OTU_5,OR371516.1,Gallus gallus,100,102,0,0,1,102,3548,3649,5.88E-44,189
OTU_5,OR506257.1,Gallus gallus,100,102,0,0,1,102,2319,2420,5.88E-44,189
OTU_50,GQ338946.1,Sus celebensis,98.936,94,1,0,1,94,1069,1162,6.76E-38,169
OTU_50,JN601070.1,Sus scrofa,98.936,94,1,0,1,94,2262,2355,6.76E-38,169
OTU_50,NC_024860.1,Sus celebensis,98.936,94,1,0,1,94,3304,3397,6.76E-38,169
OTU_513,KY824825.1,Homo sapiens,98.901,91,1,0,3,93,2831,2921,3.09E-36,163
OTU_513,OR643891.1,Homo sapiens,97.872,94,1,1,1,93,2824,2917,1.11E-35,161
OTU_513,OR643892.1,Homo sapiens,97.872,94,1,1,1,93,2828,2921,1.11E-35,161
OTU_52,MZ040940.1,Rhinopithecus roxellana,93.023,86,5,1,9,93,324,409,1.46E-24,124
OTU_52,NG_027509.3,Macaca mulatta,100,93,0,0,1,93,1233,1325,5.14E-39,172
OTU_52,XM_011996668.1,PREDICTED: Mandrillus leucophaeus,91.304,92,7,1,3,93,1142,1233,1.46E-24,124
OTU_525,MF893966.1,Macaca fascicularis,98.901,91,1,0,1,91,2246,2336,3.09E-36,163
OTU_525,MF893967.1,Macaca fascicularis,98.901,91,1,0,1,91,2246,2336,3.09E-36,163
OTU_525,MF893969.1,Macaca fascicularis,98.901,91,1,0,1,91,2246,2336,3.09E-36,163
OTU_53,AC193936.3,Pan troglodytes,90.526,95,9,0,1,95,141178,141272,4.19E-25,126
OTU_53,AC217026.3,Pan troglodytes,90.526,95,9,0,1,95,206368,206462,4.19E-25,126
OTU_53,NG_023462.4,Pan troglodytes,90.526,95,9,0,1,95,1329,1423,4.19E-25,126
OTU_54,NM_001194967.1,Macaca mulatta,94.681,94,5,0,1,94,1127,1220,3.17E-31,147
OTU_54,OQ199583.1,Macaca mulatta,93.617,94,6,0,1,94,2245,2338,1.47E-29,141
OTU_54,OQ199584.1,Macaca mulatta,93.617,94,6,0,1,94,2245,2338,1.47E-29,141
OTU_55,LC433813.1,Macaca fuscata,91.489,94,8,0,1,94,314,407,3.19E-26,130
OTU_55,LC433817.2,Macaca fuscata,91.489,94,8,0,1,94,96,189,3.19E-26,130
OTU_55,MZ041128.1,Macaca mulatta,97.872,94,2,0,1,94,320,413,3.14E-36,163
OTU_56,AC012365.6,Homo sapiens,96.703,91,3,0,1,91,41592,41682,6.47E-33,152
OTU_56,MZ041122.1,Macaca mulatta,100,91,0,0,1,91,318,408,6.42E-38,169
OTU_56,NG_027507.2,Macaca mulatta,100,91,0,0,1,91,1203,1293,6.42E-38,169
OTU_575,OR643891.1,Homo sapiens,98.889,90,1,0,2,91,2825,2914,1.13E-35,161
OTU_575,OR643892.1,Homo sapiens,98.889,90,1,0,2,91,2829,2918,1.13E-35,161
OTU_575,OR652292.1,Homo sapiens,98.889,90,1,0,2,91,2831,2920,1.13E-35,161
OTU_579,XM_023047653.1,PREDICTED: Onthophagus taurus,96.104,77,3,0,4,80,1335,1259,3.23E-25,126
OTU_579,XM_023047654.1,PREDICTED: Onthophagus taurus,96.104,77,3,0,4,80,1359,1283,3.23E-25,126
OTU_579,XM_023047655.1,PREDICTED: Onthophagus taurus,96.104,77,3,0,4,80,1307,1231,3.23E-25,126
OTU_58,AF420058.1,Cercopithecus aethiops,95.238,84,4,0,1,84,1414,1497,2.34E-27,134
OTU_58,AY603036.1,Cercopithecus aethiops,95.238,84,4,0,1,84,810,893,2.34E-27,134
OTU_58,XM_028836112.1,PREDICTED: Macaca mulatta,100,91,0,0,1,91,1132,1222,6.42E-38,169
OTU_6,JN800721.1,Galeopterus variegatus,97.849,93,2,0,1,93,2269,2361,1.11E-35,161
OTU_6,NC_004031.1,Galeopterus variegatus,96.774,93,3,0,1,93,2269,2361,5.17E-34,156
OTU_60,CP050569.1,Canis lupus familiaris,100,92,0,0,1,92,13521257,13521166,1.82E-38,171
OTU_60,CP050620.1,Canis lupus familiaris,100,92,0,0,1,92,13523582,13523491,1.82E-38,171
OTU_60,HG994395.1,Canis lupus,100,92,0,0,1,92,15332240,15332149,1.82E-38,171
OTU_616,OR360233.1,Sus scrofa,97.872,94,2,0,1,94,301,394,3.14E-36,163
OTU_616,OR397961.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_616,OR397962.1,Sus scrofa,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
OTU_626,OR360233.1,Sus scrofa,100,91,0,0,1,91,301,391,6.65E-38,169
OTU_626,OR397961.1,Sus scrofa,100,91,0,0,1,91,2263,2353,6.65E-38,169
OTU_626,OR397962.1,Sus scrofa,100,91,0,0,1,91,2263,2353,6.65E-38,169
OTU_63,MN816304.1,Cynopterus brachyotis,96.667,90,3,0,1,90,2263,2352,2.28E-32,150
OTU_63,NC_026465.1,Cynopterus brachyotis,100,90,0,0,1,90,2269,2358,2.27E-37,167
