sn,sample,set_time,set_time_n,gut,cq,Storage
124,10h.16,10h,7,Full,25.07916,Ethanol only
125,10h.17,10h,7,Empty,33.91296,Ethanol only
126,10h.18,10h,7,Partially full,23.51631,Ethanol only
128,24h.2,24h,8,Empty,40.02765,Ethanol + Freeze
129,24h.3,24h,8,Empty,35.46415,Ethanol + Freeze
131,24h.5,24h,8,Full,22.24482,Ethanol + Freeze
132,24h.6,24h,8,Empty,31.26095,Ethanol + Freeze
133,24h.7,24h,8,Empty,31.27852,Ethanol + Freeze
134,24h.8,24h,8,Empty,22.70177,Ethanol + Freeze
135,24h.9,24h,8,Partially full,31.34245,Ethanol + Freeze
136,24h.10,24h,8,Empty (with specks),31.03456,Ethanol + Freeze
137,24h.11,24h,8,Full,25.28398,Ethanol + Freeze
138,24h.12,24h,8,Empty,33.08758,Ethanol only
143,24h.17,24h,8,Empty,33.65367,Ethanol only
144,24h.18,24h,8,Full,25.45606,Ethanol only
145,24h.19,24h,8,Partially full,26.73158,Ethanol only
146,24h.20,24h,8,Empty (with specks),31.05588,Ethanol only
147,24h.21,24h,8,Empty,37.42673,Ethanol only
