SpecimenID,Species,DungType,TimePt,Storage,Extraction,DNAPurity,DNAYield
CM0037,Catharsius_molossus,Elephant,120,LiqN,Gut,0.126298915,38.79203326
CM0038,Catharsius_molossus,Elephant,120,LiqN,Gut,1.825264603,38.51303201
CM0039,Catharsius_molossus,Elephant,120,LiqN,Gut,0.40427627,38.98841884
CM0040,Catharsius_molossus,Elephant,120,LiqN,Gut,0.383728233,41.9689807
CM0041,Catharsius_molossus,Elephant,180,LiqN,Gut,0.542209235,20.87546949
CM0042,Catharsius_molossus,Elephant,180,LiqN,Gut,1.484277823,20.30546392
CM0043,Catharsius_molossus,Elephant,180,LiqN,Gut,0.825285442,23.57820755
CM0044,Catharsius_molossus,Elephant,180,LiqN,Gut,0.278370999,20.18791466
CM0045,Catharsius_molossus,Elephant,180,LiqN,Gut,1.993575015,24.50788617
CM0046,Catharsius_molossus,Elephant,180,LiqN,Gut,1.472866354,21.5062484
CM0047,Catharsius_molossus,Elephant,180,LiqN,Gut,1.605417475,23.56870322
CM0048,Catharsius_molossus,Elephant,180,LiqN,Gut,1.028557379,21.02305043
CM0049,Catharsius_molossus,Elephant,180,LiqN,Gut,1.039854232,20.67425171
CM0050,Catharsius_molossus,Elephant,180,LiqN,Gut,1.985052936,23.52495354
CM0051,Catharsius_molossus,Elephant,360,LiqN,Gut,0.364923373,17.07298975
CM0052,Catharsius_molossus,Elephant,360,LiqN,Gut,0.176986842,18.72779912
CM0053,Catharsius_molossus,Elephant,360,LiqN,Gut,0.945738612,14.9213387
CM0054,Catharsius_molossus,Elephant,360,LiqN,Gut,0.800380362,17.77650421
CM0055,Catharsius_molossus,Elephant,360,LiqN,Gut,1.470371473,10.60562792
CM0056,Catharsius_molossus,Elephant,360,LiqN,Gut,1.643272577,10.66770409
CM0057,Catharsius_molossus,Elephant,360,LiqN,Gut,1.402918953,19.91726551
CM0058,Catharsius_molossus,Elephant,360,LiqN,Gut,0.568610474,13.1397929
CM0059,Catharsius_molossus,Elephant,360,LiqN,Gut,0.494995001,15.0463267
CM0060,Catharsius_molossus,Elephant,360,LiqN,Gut,1.921962077,15.5196058
CM0061,Catharsius_molossus,Elephant,600,LiqN,Gut,0.543400804,14.37867873
CM0062,Catharsius_molossus,Elephant,600,LiqN,Gut,0.645267244,14.17446575
CM0063,Catharsius_molossus,Elephant,600,LiqN,Gut,1.671574241,12.34326073
CM0064,Catharsius_molossus,Elephant,600,LiqN,Gut,0.690553013,10.935591
CM0065,Catharsius_molossus,Elephant,600,LiqN,Gut,1.75369009,13.31852066
CM0066,Catharsius_molossus,Elephant,600,LiqN,Gut,1.642375178,14.56421526
CM0067,Catharsius_molossus,Elephant,600,LiqN,Gut,1.864555228,14.34627381
CM0068,Catharsius_molossus,Elephant,600,LiqN,Gut,0.739326901,11.41312129
CM0069,Catharsius_molossus,Elephant,600,LiqN,Gut,1.244215013,12.16589133
CM0070,Catharsius_molossus,Elephant,600,LiqN,Gut,1.268168458,14.67274913
CM0071,Catharsius_molossus,Elephant,1440,LiqN,Gut,0.306414265,3.286195276
CM0072,Catharsius_molossus,Elephant,1440,LiqN,Gut,0.630214273,4.72606978
CM0073,Catharsius_molossus,Elephant,1440,LiqN,Gut,1.719913748,2.965316165
CM0074,Catharsius_molossus,Elephant,1440,LiqN,Gut,1.495137151,4.786276032
CM0075,Catharsius_molossus,Elephant,1440,LiqN,Gut,0.98911507,3.128705474
CM0076,Catharsius_molossus,Elephant,1440,LiqN,Gut,1.70253915,4.695718456
CM0077,Catharsius_molossus,Elephant,1440,LiqN,Gut,1.642362834,2.028407684
CM0078,Catharsius_molossus,Elephant,1440,LiqN,Gut,0.918088687,4.811493054
CM0079,Catharsius_molossus,Elephant,1440,LiqN,Gut,0.6631298,4.516110598
CM0080,Catharsius_molossus,Elephant,1440,LiqN,Gut,0.6789133,1.236910932
CM0081,Catharsius_molossus,Elephant,0,Ethanol,Gut,1.596722608,30.86830992
CM0082,Catharsius_molossus,Elephant,0,Ethanol,Gut,1.993860257,33.71267445
CM0083,Catharsius_molossus,Elephant,0,Ethanol,Gut,1.739474375,33.37788324
CM0084,Catharsius_molossus,Elephant,0,Ethanol,Gut,0.538910668,29.37719287
CM0085,Catharsius_molossus,Elephant,0,Ethanol,Gut,1.803494613,26.82698772
CM0086,Catharsius_molossus,Elephant,0,Ethanol,Gut,1.20065139,26.49080346
CM0087,Catharsius_molossus,Elephant,0,Ethanol,Gut,0.981040198,26.48013099
CM0088,Catharsius_molossus,Elephant,0,Ethanol,Gut,1.663667066,35.43251275
CM0089,Catharsius_molossus,Elephant,0,Ethanol,Gut,0.239270497,26.51295535
CM0090,Catharsius_molossus,Elephant,0,Ethanol,Gut,0.166914044,27.96025017
CM0091,Catharsius_molossus,Elephant,30,Ethanol,Gut,1.232321662,43.77273752
CM0092,Catharsius_molossus,Elephant,30,Ethanol,Gut,0.691292129,42.69715421
CM0093,Catharsius_molossus,Elephant,30,Ethanol,Gut,0.39501913,43.75764213
CM0094,Catharsius_molossus,Elephant,30,Ethanol,Gut,1.959819006,41.84969241
CM0095,Catharsius_molossus,Elephant,30,Ethanol,Gut,0.503289386,40.35088875
CM0096,Catharsius_molossus,Elephant,30,Ethanol,Gut,1.543071753,41.52200601
CM0097,Catharsius_molossus,Elephant,30,Ethanol,Gut,0.105224484,43.58100434
CM0098,Catharsius_molossus,Elephant,30,Ethanol,Gut,1.101983417,42.08115424
CM0099,Catharsius_molossus,Elephant,30,Ethanol,Gut,0.573161433,40.44663629
CM0100,Catharsius_molossus,Elephant,30,Ethanol,Gut,0.30613647,41.35057744
CM0101,Catharsius_molossus,Elephant,60,Ethanol,Gut,1.680953336,43.59888708
CM0102,Catharsius_molossus,Elephant,60,Ethanol,Gut,1.498228587,44.21001194
CM0103,Catharsius_molossus,Elephant,60,Ethanol,Gut,1.868680668,35.06684803
CM0104,Catharsius_molossus,Elephant,60,Ethanol,Gut,1.693075211,37.11971735
CM0105,Catharsius_molossus,Elephant,60,Ethanol,Gut,0.112063636,37.71260387
CM0106,Catharsius_molossus,Elephant,60,Ethanol,Gut,0.42291333,35.2128781
CM0107,Catharsius_molossus,Elephant,60,Ethanol,Gut,0.817037654,36.33031334
CM0108,Catharsius_molossus,Elephant,60,Ethanol,Gut,0.915271028,36.15359076
CM0109,Catharsius_molossus,Elephant,60,Ethanol,Gut,1.911589891,43.70766079
CM0110,Catharsius_molossus,Elephant,60,Ethanol,Gut,1.374399439,44.35268429
CM0111,Catharsius_molossus,Elephant,120,Ethanol,Gut,0.979485988,29.26704207
CM0112,Catharsius_molossus,Elephant,120,Ethanol,Gut,0.739344929,32.85946331
CM0113,Catharsius_molossus,Elephant,120,Ethanol,Gut,1.972500505,34.67166125
CM0114,Catharsius_molossus,Elephant,120,Ethanol,Gut,1.459989699,25.35222304
CM0115,Catharsius_molossus,Elephant,120,Ethanol,Gut,0.859052567,25.2068697
CM0116,Catharsius_molossus,Elephant,120,Ethanol,Gut,0.130468136,26.831198
CM0117,Catharsius_molossus,Elephant,120,Ethanol,Gut,1.624415498,33.34145735
CM0118,Catharsius_molossus,Elephant,120,Ethanol,Gut,0.025150885,29.23177594
CM0119,Catharsius_molossus,Elephant,120,Ethanol,Gut,1.463700563,39.44912908
CM0120,Catharsius_molossus,Elephant,120,Ethanol,Gut,1.045975483,34.29972822
CM0121,Catharsius_molossus,Elephant,180,Ethanol,Gut,0.835364221,17.09705303
CM0122,Catharsius_molossus,Elephant,180,Ethanol,Gut,0.334029324,16.43041439
CM0123,Catharsius_molossus,Elephant,180,Ethanol,Gut,1.570321382,15.58798093
CM0124,Catharsius_molossus,Elephant,180,Ethanol,Gut,0.742268497,16.13475375
CM0125,Catharsius_molossus,Elephant,180,Ethanol,Gut,1.898589612,16.67434243
CM0126,Catharsius_molossus,Elephant,180,Ethanol,Gut,0.39892152,16.86572966
CM0127,Catharsius_molossus,Elephant,180,Ethanol,Gut,0.821974543,18.85373427
CM0128,Catharsius_molossus,Elephant,180,Ethanol,Gut,0.066013751,18.06545807
CM0129,Catharsius_molossus,Elephant,180,Ethanol,Gut,1.731415431,19.11630077
CM0130,Catharsius_molossus,Elephant,180,Ethanol,Gut,1.235251563,18.09812237
CM0131,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.736959902,19.66581592
CM0132,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.57761535,13.66451325
CM0133,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.341490978,15.86204266
CM0134,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.663428645,14.98151375
CM0135,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.778942437,14.42626638
CM0136,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.916267159,14.88620322
CM0137,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.177149171,17.76021312
CM0138,Catharsius_molossus,Elephant,360,Ethanol,Gut,0.24130726,19.66525418
CM0139,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.386414332,17.16361293
CM0140,Catharsius_molossus,Elephant,360,Ethanol,Gut,1.518268523,16.76503737
CM0141,Catharsius_molossus,Elephant,600,Ethanol,Gut,0.456358925,13.080779
CM0142,Catharsius_molossus,Elephant,600,Ethanol,Gut,1.480677608,12.38197027
CM0143,Catharsius_molossus,Elephant,600,Ethanol,Gut,1.581625331,11.55332565
CM0144,Catharsius_molossus,Elephant,600,Ethanol,Gut,1.020688546,10.52873896
CM0145,Catharsius_molossus,Elephant,600,Ethanol,Gut,1.28380706,11.04788319
CM0146,Catharsius_molossus,Elephant,600,Ethanol,Gut,0.76617961,13.89453275
CM0147,Catharsius_molossus,Elephant,600,Ethanol,Gut,0.745315487,14.65616784
CM0148,Catharsius_molossus,Elephant,600,Ethanol,Gut,0.660102062,10.14200162
CM0149,Catharsius_molossus,Elephant,600,Ethanol,Gut,1.927491312,11.96851394
CM0150,Catharsius_molossus,Elephant,600,Ethanol,Gut,1.38180049,11.77190112
CM0151,Catharsius_molossus,Elephant,1440,Ethanol,Gut,0.920565589,3.454104435
CM0152,Catharsius_molossus,Elephant,1440,Ethanol,Gut,1.075581494,1.720700404
CM0153,Catharsius_molossus,Elephant,1440,Ethanol,Gut,1.362616688,2.268304843
CM0154,Catharsius_molossus,Elephant,1440,Ethanol,Gut,0.13838703,4.284736351
CM0155,Catharsius_molossus,Elephant,1440,Ethanol,Gut,1.086574743,1.711968945
CM0156,Catharsius_molossus,Elephant,1440,Ethanol,Gut,0.590217252,2.481958455
CM0157,Catharsius_molossus,Elephant,1440,Ethanol,Gut,1.805719288,1.478518609
CM0158,Catharsius_molossus,Elephant,1440,Ethanol,Gut,0.760998653,4.818962526
CM0159,Catharsius_molossus,Elephant,1440,Ethanol,Gut,0.556863255,4.858622309
CM0160,Catharsius_molossus,Elephant,1440,Ethanol,Gut,0.638635364,4.065190758
CM0161,Catharsius_molossus,Tiger,0,LiqN,Gut,1.460507355,32.68246013
CM0162,Catharsius_molossus,Tiger,0,LiqN,Gut,1.62390326,44.71768069
CM0163,Catharsius_molossus,Tiger,0,LiqN,Gut,0.921672023,31.37466503
CM0164,Catharsius_molossus,Tiger,0,LiqN,Gut,0.840569852,38.69818648
CM0165,Catharsius_molossus,Tiger,0,LiqN,Gut,1.1754134,40.72767631
CM0166,Catharsius_molossus,Tiger,0,LiqN,Gut,0.962731804,34.41649407
CM0167,Catharsius_molossus,Tiger,0,LiqN,Gut,1.30890066,41.07876924
CM0168,Catharsius_molossus,Tiger,0,LiqN,Gut,1.291603606,44.79082496
CM0169,Catharsius_molossus,Tiger,0,LiqN,Gut,0.181092448,34.47032732
CM0170,Catharsius_molossus,Tiger,0,LiqN,Gut,1.93638659,32.38622266
CM0171,Catharsius_molossus,Tiger,30,LiqN,Gut,1.393804269,46.16753351
CM0172,Catharsius_molossus,Tiger,30,LiqN,Gut,0.155410634,49.70010733
CM0173,Catharsius_molossus,Tiger,30,LiqN,Gut,1.696807717,46.11796641
CM0174,Catharsius_molossus,Tiger,30,LiqN,Gut,0.214133758,49.87919248
CM0175,Catharsius_molossus,Tiger,30,LiqN,Gut,0.596699364,47.76457916
CM0176,Catharsius_molossus,Tiger,30,LiqN,Gut,1.146143831,47.51828545
CM0177,Catharsius_molossus,Tiger,30,LiqN,Gut,0.638477878,49.90132173
CM0178,Catharsius_molossus,Tiger,30,LiqN,Gut,0.922776145,47.7379492
CM0179,Catharsius_molossus,Tiger,30,LiqN,Gut,1.130154269,48.15684625
CM0180,Catharsius_molossus,Tiger,30,LiqN,Gut,1.201549819,45.88039262
CM0181,Catharsius_molossus,Tiger,60,LiqN,Gut,0.749762337,49.52831105
CM0182,Catharsius_molossus,Tiger,60,LiqN,Gut,1.925299484,48.36471967
CM0183,Catharsius_molossus,Tiger,60,LiqN,Gut,0.660739231,49.38780741
CM0184,Catharsius_molossus,Tiger,60,LiqN,Gut,1.760510196,48.05188732
CM0185,Catharsius_molossus,Tiger,60,LiqN,Gut,0.256243066,49.77016622
CM0186,Catharsius_molossus,Tiger,60,LiqN,Gut,0.860679491,42.33225898
CM0187,Catharsius_molossus,Tiger,60,LiqN,Gut,1.046995594,40.90231492
CM0188,Catharsius_molossus,Tiger,60,LiqN,Gut,0.081294925,47.68738538
CM0189,Catharsius_molossus,Tiger,60,LiqN,Gut,0.316652869,44.14403391
CM0190,Catharsius_molossus,Tiger,60,LiqN,Gut,1.850824835,47.16266284
CM0191,Catharsius_molossus,Tiger,120,LiqN,Gut,0.906469406,34.42100563
CM0192,Catharsius_molossus,Tiger,120,LiqN,Gut,1.177170879,36.89969454
CM0193,Catharsius_molossus,Tiger,120,LiqN,Gut,0.46039913,36.67364613
CM0194,Catharsius_molossus,Tiger,120,LiqN,Gut,1.725736279,35.55159622
CM0195,Catharsius_molossus,Tiger,120,LiqN,Gut,1.324899397,37.02648909
CM0196,Catharsius_molossus,Tiger,120,LiqN,Gut,1.263710847,31.67539889
CM0197,Catharsius_molossus,Tiger,120,LiqN,Gut,0.343613851,38.51109843
CM0198,Catharsius_molossus,Tiger,120,LiqN,Gut,1.749392091,40.20630384
CM0199,Catharsius_molossus,Tiger,120,LiqN,Gut,0.207649226,32.5506896
CM0200,Catharsius_molossus,Tiger,120,LiqN,Gut,0.093326789,36.44703257
CM0201,Catharsius_molossus,Tiger,180,LiqN,Gut,1.910309547,24.49058527
CM0202,Catharsius_molossus,Tiger,180,LiqN,Gut,0.019125282,21.98878917
CM0203,Catharsius_molossus,Tiger,180,LiqN,Gut,0.67344675,20.08334498
CM0204,Catharsius_molossus,Tiger,180,LiqN,Gut,1.93117565,20.1940619
CM0205,Catharsius_molossus,Tiger,180,LiqN,Gut,0.910554218,21.96204669
CM0206,Catharsius_molossus,Tiger,180,LiqN,Gut,1.346079087,20.62387397
CM0207,Catharsius_molossus,Tiger,180,LiqN,Gut,1.384167274,24.51970592
CM0208,Catharsius_molossus,Tiger,180,LiqN,Gut,1.306935673,24.41265152
CM0209,Catharsius_molossus,Tiger,180,LiqN,Gut,0.137102896,23.52580032
CM0210,Catharsius_molossus,Tiger,180,LiqN,Gut,1.00924711,21.23247912
CM0211,Catharsius_molossus,Tiger,360,LiqN,Gut,1.463605165,18.95175926
CM0212,Catharsius_molossus,Tiger,360,LiqN,Gut,0.457016604,14.85705583
CM0213,Catharsius_molossus,Tiger,360,LiqN,Gut,0.922069328,14.41712853
CM0214,Catharsius_molossus,Tiger,360,LiqN,Gut,1.65109609,16.31896661
CM0215,Catharsius_molossus,Tiger,360,LiqN,Gut,1.099332345,15.93151628
CM0216,Catharsius_molossus,Tiger,360,LiqN,Gut,1.367562157,12.44731076
CM0217,Catharsius_molossus,Tiger,360,LiqN,Gut,1.920134707,15.44572713
CM0218,Catharsius_molossus,Tiger,360,LiqN,Gut,1.930973545,11.52759111
CM0219,Catharsius_molossus,Tiger,360,LiqN,Gut,0.950679469,10.87340813
CM0220,Catharsius_molossus,Tiger,360,LiqN,Gut,1.917236265,17.75196497
CM0221,Catharsius_molossus,Tiger,600,LiqN,Gut,1.71408075,13.67003476
CM0222,Catharsius_molossus,Tiger,600,LiqN,Gut,0.389962247,14.23740434
CM0223,Catharsius_molossus,Tiger,600,LiqN,Gut,0.686555997,12.37331043
CM0224,Catharsius_molossus,Tiger,600,LiqN,Gut,0.197621001,11.98065082
CM0225,Catharsius_molossus,Tiger,600,LiqN,Gut,0.182393704,14.65455656
CM0226,Catharsius_molossus,Tiger,600,LiqN,Gut,1.762748646,12.06273155
CM0227,Catharsius_molossus,Tiger,600,LiqN,Gut,1.948097876,14.58174452
CM0228,Catharsius_molossus,Tiger,600,LiqN,Gut,1.956618756,10.24716068
CM0229,Catharsius_molossus,Tiger,600,LiqN,Gut,1.725008659,14.97707308
CM0230,Catharsius_molossus,Tiger,600,LiqN,Gut,0.681835714,13.74862734
CM0231,Catharsius_molossus,Tiger,1440,LiqN,Gut,0.160206685,1.463932622
CM0232,Catharsius_molossus,Tiger,1440,LiqN,Gut,1.169630901,1.110084636
CM0233,Catharsius_molossus,Tiger,1440,LiqN,Gut,0.976063987,4.253945514
CM0234,Catharsius_molossus,Tiger,1440,LiqN,Gut,0.256879544,3.47394031
CM0235,Catharsius_molossus,Tiger,1440,LiqN,Gut,1.726099212,4.744796748
CM0236,Catharsius_molossus,Tiger,1440,LiqN,Gut,1.167837545,4.027934048
CM0237,Catharsius_molossus,Tiger,1440,LiqN,Gut,1.583206284,4.792548724
CM0238,Catharsius_molossus,Tiger,1440,LiqN,Gut,0.334175075,3.556117275
CM0239,Catharsius_molossus,Tiger,1440,LiqN,Gut,1.486400995,2.87909588
CM0240,Catharsius_molossus,Tiger,1440,LiqN,Gut,0.025191004,1.556320301
CM0241,Catharsius_molossus,Tiger,0,Ethanol,Gut,0.861541784,36.00820924
CM0242,Catharsius_molossus,Tiger,0,Ethanol,Gut,1.991052135,33.00281357
CM0243,Catharsius_molossus,Tiger,0,Ethanol,Gut,1.987770391,35.83832047
CM0244,Catharsius_molossus,Tiger,0,Ethanol,Gut,0.299028961,34.74352106
CM0245,Catharsius_molossus,Tiger,0,Ethanol,Gut,0.309757754,36.0576898
CM0246,Catharsius_molossus,Tiger,0,Ethanol,Gut,1.425598118,29.47088524
CM0247,Catharsius_molossus,Tiger,0,Ethanol,Gut,0.145148563,26.93205031
CM0248,Catharsius_molossus,Tiger,0,Ethanol,Gut,1.011451543,38.76381465
CM0249,Catharsius_molossus,Tiger,0,Ethanol,Gut,0.005897459,32.04328884
CM0250,Catharsius_molossus,Tiger,0,Ethanol,Gut,1.136556607,31.10341841
CM0251,Catharsius_molossus,Tiger,30,Ethanol,Gut,0.436802992,40.21767576
CM0252,Catharsius_molossus,Tiger,30,Ethanol,Gut,1.643848547,43.68172217
CM0253,Catharsius_molossus,Tiger,30,Ethanol,Gut,0.064754574,44.73260739
CM0254,Catharsius_molossus,Tiger,30,Ethanol,Gut,1.304402782,43.95868771
CM0255,Catharsius_molossus,Tiger,30,Ethanol,Gut,1.03413363,43.27477331
CM0256,Catharsius_molossus,Tiger,30,Ethanol,Gut,1.264127563,41.14678049
CM0257,Catharsius_molossus,Tiger,30,Ethanol,Gut,1.984980162,41.10600151
CM0258,Catharsius_molossus,Tiger,30,Ethanol,Gut,1.197725827,40.93028097
CM0259,Catharsius_molossus,Tiger,30,Ethanol,Gut,0.548124482,41.69856758
CM0260,Catharsius_molossus,Tiger,30,Ethanol,Gut,0.908180283,44.53480984
CM0261,Catharsius_molossus,Tiger,60,Ethanol,Gut,0.414766859,41.69285317
CM0262,Catharsius_molossus,Tiger,60,Ethanol,Gut,1.251155167,42.70563421
CM0263,Catharsius_molossus,Tiger,60,Ethanol,Gut,0.49646293,44.58510753
CM0264,Catharsius_molossus,Tiger,60,Ethanol,Gut,1.836137243,43.66759789
CM0265,Catharsius_molossus,Tiger,60,Ethanol,Gut,0.67116059,36.52653354
CM0266,Catharsius_molossus,Tiger,60,Ethanol,Gut,0.41916411,38.66022032
CM0267,Catharsius_molossus,Tiger,60,Ethanol,Gut,1.379063435,42.51167798
CM0268,Catharsius_molossus,Tiger,60,Ethanol,Gut,1.903530859,41.52226785
CM0269,Catharsius_molossus,Tiger,60,Ethanol,Gut,0.103413762,40.07151941
CM0270,Catharsius_molossus,Tiger,60,Ethanol,Gut,1.638726046,35.13165657
CM0271,Catharsius_molossus,Tiger,120,Ethanol,Gut,0.039749653,26.77680352
CM0272,Catharsius_molossus,Tiger,120,Ethanol,Gut,1.634915911,39.17630586
CM0273,Catharsius_molossus,Tiger,120,Ethanol,Gut,1.752522697,29.38417283
CM0274,Catharsius_molossus,Tiger,120,Ethanol,Gut,1.190657571,34.23229432
CM0275,Catharsius_molossus,Tiger,120,Ethanol,Gut,0.70761204,31.04157839
CM0276,Catharsius_molossus,Tiger,120,Ethanol,Gut,0.419041709,37.7099668
CM0277,Catharsius_molossus,Tiger,120,Ethanol,Gut,1.942317462,27.993145
CM0278,Catharsius_molossus,Tiger,120,Ethanol,Gut,0.994098425,27.80040187
CM0279,Catharsius_molossus,Tiger,120,Ethanol,Gut,1.9257598,36.39299103
CM0280,Catharsius_molossus,Tiger,120,Ethanol,Gut,1.34271949,26.46354497
CM0281,Catharsius_molossus,Tiger,180,Ethanol,Gut,0.741657877,17.9534699
CM0282,Catharsius_molossus,Tiger,180,Ethanol,Gut,1.326660025,17.66610929
CM0283,Catharsius_molossus,Tiger,180,Ethanol,Gut,0.889703175,16.38569634
CM0284,Catharsius_molossus,Tiger,180,Ethanol,Gut,0.725244514,19.48208701
CM0285,Catharsius_molossus,Tiger,180,Ethanol,Gut,1.621993409,16.38251913
CM0286,Catharsius_molossus,Tiger,180,Ethanol,Gut,1.37074238,15.68455231
CM0287,Catharsius_molossus,Tiger,180,Ethanol,Gut,0.803424237,18.76338508
CM0288,Catharsius_molossus,Tiger,180,Ethanol,Gut,1.268140461,17.75147721
CM0289,Catharsius_molossus,Tiger,180,Ethanol,Gut,1.378823323,17.21432788
CM0290,Catharsius_molossus,Tiger,180,Ethanol,Gut,1.612275658,18.95875826
CM0291,Catharsius_molossus,Tiger,360,Ethanol,Gut,0.700444839,18.51748771
CM0292,Catharsius_molossus,Tiger,360,Ethanol,Gut,1.759309969,19.99111125
CM0293,Catharsius_molossus,Tiger,360,Ethanol,Gut,1.535238545,13.4914505
CM0294,Catharsius_molossus,Tiger,360,Ethanol,Gut,1.839694199,18.44721893
CM0295,Catharsius_molossus,Tiger,360,Ethanol,Gut,1.961575108,14.27375953
CM0296,Catharsius_molossus,Tiger,360,Ethanol,Gut,1.832857696,17.15238063
CM0297,Catharsius_molossus,Tiger,360,Ethanol,Gut,0.486259415,17.58459841
CM0298,Catharsius_molossus,Tiger,360,Ethanol,Gut,0.034649685,13.88457121
CM0299,Catharsius_molossus,Tiger,360,Ethanol,Gut,0.393743199,11.33549785
CM0300,Catharsius_molossus,Tiger,360,Ethanol,Gut,0.005146464,10.16887789
CM0301,Catharsius_molossus,Tiger,600,Ethanol,Gut,0.544994183,12.1477371
CM0302,Catharsius_molossus,Tiger,600,Ethanol,Gut,1.696882199,11.90981058
CM0303,Catharsius_molossus,Tiger,600,Ethanol,Gut,1.318807632,11.35823158
CM0304,Catharsius_molossus,Tiger,600,Ethanol,Gut,1.188227644,14.27039705
CM0305,Catharsius_molossus,Tiger,600,Ethanol,Gut,1.338100348,11.84083637
CM0306,Catharsius_molossus,Tiger,600,Ethanol,Gut,0.389147287,14.84778087
CM0307,Catharsius_molossus,Tiger,600,Ethanol,Gut,1.845998748,13.23970327
CM0308,Catharsius_molossus,Tiger,600,Ethanol,Gut,0.604483662,12.08230019
CM0309,Catharsius_molossus,Tiger,600,Ethanol,Gut,0.270301334,12.02520762
CM0310,Catharsius_molossus,Tiger,600,Ethanol,Gut,0.607535484,14.92058197
CM0311,Catharsius_molossus,Tiger,1440,Ethanol,Gut,1.567395601,3.697066444
CM0312,Catharsius_molossus,Tiger,1440,Ethanol,Gut,1.425588713,4.531616585
CM0313,Catharsius_molossus,Tiger,1440,Ethanol,Gut,0.837607447,4.689371036
CM0314,Catharsius_molossus,Tiger,1440,Ethanol,Gut,0.706602174,4.002136443
CM0315,Catharsius_molossus,Tiger,1440,Ethanol,Gut,0.15623324,2.74109593
CM0316,Catharsius_molossus,Tiger,1440,Ethanol,Gut,1.823825155,3.495612456
CM0317,Catharsius_molossus,Tiger,1440,Ethanol,Gut,1.30956944,4.103045131
CM0318,Catharsius_molossus,Tiger,1440,Ethanol,Gut,1.456143898,4.04081138
CM0319,Catharsius_molossus,Tiger,1440,Ethanol,Gut,1.857770443,1.511181595
