"","qseid","sseqid","n"
"131","OTU_101","MK770342.1",1
"132","OTU_101","MN011574.1",1
"133","OTU_101","MN720361.1",1
"134","OTU_101","MW020581.1",1
"135","OTU_101","MW020582.1",1
"136","OTU_101","MW354666.1",1
"137","OTU_101","MW486614.1",1
"138","OTU_101","MZ593724.1",1
"139","OTU_101","MZ895120.1",1
"140","OTU_101","MZ895121.1",1
"141","OTU_101","MZ922472.1",1
"142","OTU_101","MZ962673.1",1
"143","OTU_101","NC_009684.1",1
"144","OTU_101","NC_022418.1",1
"145","OTU_101","NC_023352.1",1
"146","OTU_101","NC_024750.1",1
"147","OTU_101","NC_088449.1",1
"148","OTU_101","OQ561754.1",1
"149","OTU_101","OQ561755.1",1
"150","OTU_101","OQ561757.1",1
"151","OTU_101","OQ561758.1",1
"152","OTU_101","OQ561759.1",1
"153","OTU_101","OQ561760.1",1
"154","OTU_101","OR242796.1",1
"155","OTU_101","OR242797.1",1
"156","OTU_101","OR242799.1",1
"157","OTU_101","OR242800.1",1
"158","OTU_101","OR242801.1",1
"159","OTU_101","OR242802.1",1
"160","OTU_101","OR242803.1",1
"161","OTU_101","OR242804.1",1
"162","OTU_101","OR242805.1",1
"163","OTU_101","OR242806.1",1
"164","OTU_101","OR242807.1",1
"165","OTU_101","OR243001.1",1
"166","OTU_101","OR243002.1",1
"167","OTU_101","OR243003.1",1
"168","OTU_101","OR243004.1",1
"169","OTU_101","OR243005.1",1
"170","OTU_101","OR243006.1",1
"171","OTU_101","OR243007.1",1
"172","OTU_101","OR243008.1",1
"173","OTU_101","OR243009.1",1
"174","OTU_101","OR243010.1",1
"175","OTU_101","OR243011.1",1
"176","OTU_101","OR243012.1",1
"177","OTU_101","OR243013.1",1
"178","OTU_101","OR243014.1",1
"179","OTU_101","OR243015.1",1
"180","OTU_101","OR269153.1",1
"181","OTU_101","OR269154.1",1
"182","OTU_101","OR269155.1",1
"183","OTU_101","OR269156.1",1
"184","OTU_101","OR269157.1",1
"185","OTU_101","OR269158.1",1
"186","OTU_101","OZ077016.1",1
"187","OTU_101","PP929788.1",1
"188","OTU_101","PP929794.1",1
"189","OTU_101","PP929795.1",1
"190","OTU_101","PQ726974.1",1
"191","OTU_101","PQ726975.1",1
"192","OTU_101","PQ726976.1",1
"193","OTU_101","PQ726977.1",1
"194","OTU_101","PQ726980.1",1
"195","OTU_101","PQ726981.1",1
"196","OTU_101","PQ726982.1",1
"197","OTU_101","PQ726983.1",1
"198","OTU_101","PQ726984.1",1
"199","OTU_101","PQ726986.1",1
"200","OTU_101","PV911318.1",1
"201","OTU_101","PX112823.1",1
"202","OTU_101","X60825.1",1
"203","OTU_103","AC004979.1",1
"204","OTU_106","LC520093.1",1
"205","OTU_106","LC520095.1",1
"206","OTU_106","LR742741.1",1
"207","OTU_106","LR742803.1",1
"208","OTU_106","LR742815.1",1
"209","OTU_106","LR742817.1",1
"210","OTU_106","LR742822.1",1
"211","OTU_106","LR742831.1",1
"212","OTU_106","LR742845.1",1
"213","OTU_106","LR742849.1",1
"214","OTU_106","LR742857.1",1
"215","OTU_106","LR742864.1",1
"216","OTU_106","LR742866.1",1
"217","OTU_106","LR745190.1",1
"218","OTU_106","MN181403.1",1
"219","OTU_106","MN699608.1",1
"220","OTU_106","MN699614.1",1
"221","OTU_106","MN699619.1",1
"222","OTU_106","MT622509.1",1
"223","OTU_106","MW916018.1",1
"224","OTU_106","MW916029.1",1
"225","OTU_106","MW916046.1",1
"226","OTU_106","MW916081.1",1
"227","OTU_106","MZ042319.1",1
"228","OTU_106","MZ042344.1",1
"229","OTU_106","MZ367898.1",1
"230","OTU_106","MZ367913.1",1
"231","OTU_106","OK052506.1",1
"232","OTU_106","OM743368.1",1
"233","OTU_106","OM743370.1",1
"234","OTU_106","OM743372.1",1
"235","OTU_106","OM743377.1",1
"236","OTU_106","OM743402.1",1
"237","OTU_106","OM743407.1",1
"238","OTU_106","OM743408.1",1
"239","OTU_106","OM743411.1",1
"240","OTU_106","OM743424.1",1
"241","OTU_106","OQ117387.1",1
"242","OTU_106","OQ339406.1",1
"243","OTU_106","OQ339414.1",1
"244","OTU_106","OQ339428.1",1
"245","OTU_106","OQ339486.1",1
"246","OTU_106","OQ339541.1",1
"247","OTU_106","OQ339585.1",1
"248","OTU_106","OQ339586.1",1
"249","OTU_106","OQ339600.1",1
"250","OTU_106","OQ339660.1",1
"251","OTU_106","OQ339684.1",1
"252","OTU_106","OQ339807.1",1
"253","OTU_106","OQ339839.1",1
"254","OTU_106","OQ339884.1",1
"255","OTU_106","OQ339904.1",1
"256","OTU_106","OQ339918.1",1
"257","OTU_106","OQ339957.1",1
"258","OTU_106","OQ340099.1",1
"259","OTU_106","OQ340121.1",1
"260","OTU_106","OQ340210.1",1
"261","OTU_106","OQ340223.1",1
"262","OTU_106","OQ340265.1",1
"263","OTU_106","OQ340317.1",1
"264","OTU_106","OQ340342.1",1
"265","OTU_106","OQ340344.1",1
"266","OTU_106","OQ340366.1",1
"267","OTU_106","OQ340677.1",1
"268","OTU_106","OQ340781.1",1
"269","OTU_106","OQ340820.1",1
"270","OTU_106","OQ340836.1",1
"271","OTU_106","OQ340841.1",1
"272","OTU_106","OQ340869.1",1
"273","OTU_106","OQ340872.1",1
"274","OTU_106","OQ340886.1",1
"275","OTU_106","OQ340891.1",1
"276","OTU_106","OQ340927.1",1
"277","OTU_106","OQ340933.1",1
"278","OTU_106","OQ340946.1",1
"279","OTU_106","OQ340954.1",1
"280","OTU_106","OQ340960.1",1
"281","OTU_106","OQ340972.1",1
"282","OTU_106","OQ341002.1",1
"283","OTU_106","OQ341011.1",1
"284","OTU_106","OQ341023.1",1
"285","OTU_106","OQ341054.1",1
"286","OTU_106","OQ341061.1",1
"287","OTU_106","OQ341094.1",1
"288","OTU_106","OQ341109.1",1
"289","OTU_106","PP187758.1",1
"290","OTU_106","PP187759.1",1
"291","OTU_106","PP187760.1",1
"292","OTU_106","PP187770.1",1
"293","OTU_106","PP187773.1",1
"294","OTU_106","PP187777.1",1
"295","OTU_106","PP187780.1",1
"296","OTU_106","PP454581.1",1
"297","OTU_106","PP454583.1",1
"298","OTU_106","PP454584.1",1
"299","OTU_106","PP454595.1",1
"300","OTU_106","PP454637.1",1
"301","OTU_106","PP812323.1",1
"302","OTU_106","PP812326.1",1
"303","OTU_106","PP812333.1",1
"304","OTU_109","AY313692.1",1
"305","OTU_109","KP318722.1",1
"306","OTU_11","KJ698653.1",1
"307","OTU_11","PQ305503.1",1
"308","OTU_11","PQ305510.1",1
"309","OTU_11","PQ305511.1",1
"310","OTU_11","PQ305512.1",1
"311","OTU_11","PQ305513.1",1
"312","OTU_11","PQ305514.1",1
"313","OTU_11","PQ305515.1",1
"314","OTU_111","NM_001195043.2",1
"315","OTU_113","AC213900.3",1
"316","OTU_116","NM_001195073.3",1
"317","OTU_117","NC_004031.1",1
"318","OTU_12","AY227463.1",1
"319","OTU_127","AC200082.7",1
"320","OTU_127","AC202616.8",1
"321","OTU_127","NG_027497.3",1
"322","OTU_13","EU189382.1",1
"323","OTU_13","GQ338949.1",1
"324","OTU_13","KJ193191.1",1
"325","OTU_13","OP088335.1",1
"326","OTU_130","AP022877.1",1
"327","OTU_130","AP022907.1",1
"328","OTU_130","AP022927.1",1
"329","OTU_130","AP022934.1",1
"330","OTU_130","AP022964.1",1
"331","OTU_130","AP022986.1",1
"332","OTU_130","CP001407.1",1
"333","OTU_130","CP003187.1",1
"334","OTU_130","CP009300.1",1
"335","OTU_130","CP009318.1",1
"336","OTU_130","CP009641.1",1
"337","OTU_130","CP053931.1",1
"338","OTU_130","CP053965.1",1
"339","OTU_130","CP065650.1",1
"340","OTU_130","CP071486.1",1
"341","OTU_130","CP085402.1",1
"342","OTU_130","CP094408.1",1
"343","OTU_130","CP094410.1",1
"344","OTU_130","CP094412.1",1
"345","OTU_130","CP094414.1",1
"346","OTU_130","CP094416.1",1
"347","OTU_130","CP094418.1",1
"348","OTU_130","CP094420.1",1
"349","OTU_130","CP094422.1",1
"350","OTU_130","CP094424.1",1
"351","OTU_130","CP094426.1",1
"352","OTU_130","CP094428.1",1
"353","OTU_130","CP094430.1",1
"354","OTU_130","CP094432.1",1
"355","OTU_130","CP094434.1",1
"356","OTU_130","CP094436.1",1
"357","OTU_130","CP094437.1",1
"358","OTU_130","CP094439.1",1
"359","OTU_130","CP094449.1",1
"360","OTU_138","KC505410.1",1
"361","OTU_138","KF472177.1",1
"362","OTU_138","KF752550.1",1
"363","OTU_138","KP765602.1",1
"364","OTU_138","KT194217.1",1
"365","OTU_138","KT279759.1",1
"366","OTU_138","MG250523.1",1
"367","OTU_138","MG250531.1",1
"368","OTU_138","MG250533.1",1
"369","OTU_138","MG250534.1",1
"370","OTU_138","MG250566.1",1
"371","OTU_138","PP763954.1",1
"372","OTU_14","KY410951.1",1
"373","OTU_141","AY360292.1",1
"374","OTU_141","AY360294.1",1
"375","OTU_141","AY835612.1",1
"376","OTU_141","JQ821843.1",1
"377","OTU_141","KJ567053.1",1
"378","OTU_141","NC_005943.1",1
"379","OTU_141","OQ199585.1",1
"380","OTU_141","OQ199586.1",1
"381","OTU_141","OQ199587.1",1
"382","OTU_141","OQ199588.1",1
"383","OTU_141","OQ199589.1",1
"384","OTU_141","OQ199590.1",1
"385","OTU_141","OQ199591.1",1
"386","OTU_141","OQ199592.1",1
"387","OTU_141","OQ199593.1",1
"388","OTU_141","OQ199594.1",1
"389","OTU_141","OQ199595.1",1
"390","OTU_141","OQ199596.1",1
"391","OTU_141","OQ199597.1",1
"392","OTU_141","OQ199598.1",1
"393","OTU_141","OQ199599.1",1
"394","OTU_141","OQ199600.1",1
"395","OTU_141","OQ199601.1",1
"396","OTU_141","OQ199602.1",1
"397","OTU_141","OQ199603.1",1
"398","OTU_141","OQ199604.1",1
"399","OTU_141","OQ199605.1",1
"400","OTU_141","OQ199606.1",1
"401","OTU_141","OQ199607.1",1
"402","OTU_141","OQ199608.1",1
"403","OTU_141","OQ199609.1",1
"404","OTU_141","OQ199610.1",1
"405","OTU_141","OQ199611.1",1
"406","OTU_141","OQ199612.1",1
"407","OTU_141","OQ199613.1",1
"408","OTU_141","OQ199614.1",1
"409","OTU_141","OQ199615.1",1
"410","OTU_141","OQ199616.1",1
"411","OTU_141","OQ199617.1",1
"412","OTU_141","OQ199618.1",1
"413","OTU_141","OQ199619.1",1
"414","OTU_141","OQ199620.1",1
"415","OTU_141","OQ199621.1",1
"416","OTU_141","OQ199622.1",1
"417","OTU_141","OQ199623.1",1
"418","OTU_141","OQ199624.1",1
"419","OTU_141","OQ199625.1",1
"420","OTU_141","OQ199626.1",1
"421","OTU_141","OQ199627.1",1
"422","OTU_141","OQ199628.1",1
"423","OTU_141","OQ199629.1",1
"424","OTU_141","OQ199630.1",1
"425","OTU_141","OQ199631.1",1
"426","OTU_141","OQ199632.1",1
"427","OTU_141","OQ199633.1",1
"428","OTU_141","OQ199634.1",1
"429","OTU_141","OQ199635.1",1
"430","OTU_141","OQ199636.1",1
"431","OTU_141","OQ199637.1",1
"432","OTU_141","OQ199638.1",1
"433","OTU_141","OQ199639.1",1
"434","OTU_141","OQ199640.1",1
"435","OTU_141","OQ199641.1",1
"436","OTU_141","OQ199642.1",1
"437","OTU_141","OQ199643.1",1
"438","OTU_141","OQ199644.1",1
"439","OTU_141","OQ199645.1",1
"440","OTU_141","OQ199646.1",1
"441","OTU_141","OQ199647.1",1
"442","OTU_141","OQ199648.1",1
"443","OTU_141","OQ199649.1",1
"444","OTU_141","OQ199650.1",1
"445","OTU_141","OQ199651.1",1
"446","OTU_141","OQ199652.1",1
"447","OTU_141","OQ199653.1",1
"448","OTU_141","OQ199654.1",1
"449","OTU_141","OQ199655.1",1
"450","OTU_141","OQ199656.1",1
"451","OTU_141","OQ199657.1",1
"452","OTU_141","OQ199658.1",1
"453","OTU_141","OQ199659.1",1
"454","OTU_141","OQ199660.1",1
"455","OTU_141","OQ199661.1",1
"456","OTU_141","OQ199662.1",1
"457","OTU_141","OQ199663.1",1
"458","OTU_141","OQ199664.1",1
"459","OTU_141","OQ199665.1",1
"460","OTU_142","NC_026120.1",1
"461","OTU_143","NG_027492.2",1
"462","OTU_145","MZ041129.1",1
"463","OTU_147","OX466066.1",1
"464","OTU_147","XM_967748.4",1
"465","OTU_148","PQ863003.1",1
"466","OTU_15","NC_026120.1",1
"467","OTU_151","AF006451.1",1
"468","OTU_151","KR132596.1",1
"469","OTU_151","MN249888.1",1
"470","OTU_151","MN249889.1",1
"471","OTU_151","MN249890.1",1
"472","OTU_151","NC_028305.1",1
"473","OTU_153","NG_027492.2",1
"474","OTU_158","OZ181343.1",1
"475","OTU_16","AB048880.1",1
"476","OTU_16","AB171435.1",1
"477","OTU_16","CP141340.1",1
"478","OTU_16","KM851000.1",1
"479","OTU_16","KM851001.1",1
"480","OTU_16","KM851002.1",1
"481","OTU_16","KM851003.1",1
"482","OTU_16","KM851004.1",1
"483","OTU_16","KM851005.1",1
"484","OTU_16","KM851006.1",1
"485","OTU_16","KM851007.1",1
"486","OTU_16","KM851008.1",1
"487","OTU_16","KM851009.1",1
"488","OTU_16","KM851013.1",1
"489","OTU_16","KM851020.1",1
"490","OTU_16","KM851021.1",1
"491","OTU_16","KM851028.1",1
"492","OTU_16","KM851031.1",1
"493","OTU_16","MF893895.1",1
"494","OTU_16","MF893896.1",1
"495","OTU_16","MF893897.1",1
"496","OTU_16","MF893900.1",1
"497","OTU_16","MF893901.1",1
"498","OTU_16","MF893902.1",1
"499","OTU_16","MF893903.1",1
"500","OTU_16","MF893904.1",1
"501","OTU_16","MF893905.1",1
"502","OTU_16","MF893906.1",1
"503","OTU_16","MF893907.1",1
"504","OTU_16","MF893908.1",1
"505","OTU_16","MF893909.1",1
"506","OTU_16","MF893910.1",1
"507","OTU_16","MF893911.1",1
"508","OTU_16","MF893912.1",1
"509","OTU_16","MF893913.1",1
"510","OTU_16","MF893915.1",1
"511","OTU_16","MF893917.1",1
"512","OTU_16","MF893918.1",1
"513","OTU_16","MF893919.1",1
"514","OTU_16","MF893920.1",1
"515","OTU_16","MF893921.1",1
"516","OTU_16","MF893922.1",1
"517","OTU_16","MF893923.1",1
"518","OTU_16","MF893924.1",1
"519","OTU_16","MF893925.1",1
"520","OTU_16","MF893926.1",1
"521","OTU_16","MF893928.1",1
"522","OTU_16","MF893929.1",1
"523","OTU_16","MF893930.1",1
"524","OTU_16","MF893931.1",1
"525","OTU_16","MF893932.1",1
"526","OTU_16","MF893933.1",1
"527","OTU_16","MF893934.1",1
"528","OTU_16","MF893935.1",1
"529","OTU_16","MF893936.1",1
"530","OTU_16","MF893937.1",1
"531","OTU_16","MF893938.1",1
"532","OTU_16","MF893939.1",1
"533","OTU_16","MF893940.1",1
"534","OTU_16","MF893941.1",1
"535","OTU_16","MF893942.1",1
"536","OTU_16","MF893944.1",1
"537","OTU_16","MF893945.1",1
"538","OTU_16","MF893946.1",1
"539","OTU_16","MF893947.1",1
"540","OTU_16","MF893958.1",1
"541","OTU_16","MF893959.1",1
"542","OTU_16","MF893960.1",1
"543","OTU_16","MF893961.1",1
"544","OTU_16","MF893962.1",1
"545","OTU_16","MF893963.1",1
"546","OTU_16","MF893964.1",1
"547","OTU_16","MF893965.1",1
"548","OTU_16","MF893966.1",1
"549","OTU_16","MF893967.1",1
"550","OTU_16","MF893969.1",1
"551","OTU_16","MT300203.1",1
"552","OTU_16","MT300204.1",1
"553","OTU_16","MT300205.1",1
"554","OTU_16","MT300207.1",1
"555","OTU_164","MZ041127.1",1
"556","OTU_165","KY464177.1",1
"557","OTU_165","NC_036729.1",1
"558","OTU_166","KC757406.1",1
"559","OTU_17","AC231380.2",1
"560","OTU_17","AC239612.3",1
"561","OTU_17","AC244472.2",1
"562","OTU_17","NG_001333.2",1
"563","OTU_17","NG_077210.1",1
"564","OTU_173","AC213900.3",1
"565","OTU_173","NM_001195058.2",1
"566","OTU_173","XM_011996668.1",1
"567","OTU_173","XM_031935420.1",1
"568","OTU_173","XM_033179866.1",1
"569","OTU_175","XM_071196912.1",1
"570","OTU_175","XM_071196913.1",1
"571","OTU_177","AP002829.3",1
"572","OTU_178","XM_071197276.1",1
"573","OTU_18","GQ338952.1",1
"574","OTU_18","OK539643.1",1
"575","OTU_183","AL390802.2",1
"576","OTU_183","AL583743.3",1
"577","OTU_183","CP034492.1",1
"578","OTU_183","FN674038.1",1
"579","OTU_187","OZ289202.1",1
"580","OTU_187","OZ291579.1",1
"581","OTU_19","LC880089.1",1
"582","OTU_19","MK381457.1",1
"583","OTU_19","MK381461.1",1
"584","OTU_19","MK381463.1",1
"585","OTU_19","MK381467.1",1
"586","OTU_19","MN011573.1",1
"587","OTU_19","MN038345.1",1
"588","OTU_19","MT768190.1",1
"589","OTU_19","MT768198.1",1
"590","OTU_19","MT768204.1",1
"591","OTU_19","MT768205.1",1
"592","OTU_19","MT768208.1",1
"593","OTU_19","MT768217.1",1
"594","OTU_19","MT768223.1",1
"595","OTU_19","MT768225.1",1
"596","OTU_19","MT768229.1",1
"597","OTU_19","MT768231.1",1
"598","OTU_19","MT768234.1",1
"599","OTU_19","MT768238.1",1
"600","OTU_19","MZ042582.1",1
"601","OTU_19","MZ042588.1",1
"602","OTU_19","MZ042589.1",1
"603","OTU_19","MZ042590.1",1
"604","OTU_19","MZ042591.1",1
"605","OTU_19","MZ042595.1",1
"606","OTU_19","MZ042620.1",1
"607","OTU_19","MZ664406.1",1
"608","OTU_19","OQ402662.1",1
"609","OTU_19","OR360109.1",1
"610","OTU_19","OR360226.1",1
"611","OTU_19","OR459641.1",1
"612","OTU_19","OR459642.1",1
"613","OTU_19","OR459646.1",1
"614","OTU_19","OR459648.1",1
"615","OTU_19","OR459653.1",1
"616","OTU_19","OR459655.1",1
"617","OTU_19","OR459656.1",1
"618","OTU_19","OR459657.1",1
"619","OTU_19","OR459659.1",1
"620","OTU_19","OR459661.1",1
"621","OTU_19","OR459665.1",1
"622","OTU_19","OR459670.1",1
"623","OTU_19","OR459677.1",1
"624","OTU_19","OR459678.1",1
"625","OTU_19","OR459679.1",1
"626","OTU_19","OR459681.1",1
"627","OTU_19","OR459685.1",1
"628","OTU_19","OR459686.1",1
"629","OTU_19","OR459690.1",1
"630","OTU_19","OR459693.1",1
"631","OTU_19","OR459694.1",1
"632","OTU_19","OR459695.1",1
"633","OTU_19","OR459696.1",1
"634","OTU_19","OR459698.1",1
"635","OTU_19","OR459700.1",1
"636","OTU_19","OR459702.1",1
"637","OTU_19","OR459706.1",1
"638","OTU_19","OR459707.1",1
"639","OTU_19","OR459708.1",1
"640","OTU_19","OR459710.1",1
"641","OTU_19","OR459711.1",1
"642","OTU_19","OR459712.1",1
"643","OTU_19","OR459718.1",1
"644","OTU_19","OR459723.1",1
"645","OTU_19","OR459724.1",1
"646","OTU_19","OR459730.1",1
"647","OTU_19","OR459731.1",1
"648","OTU_19","OR459735.1",1
"649","OTU_19","OR459736.1",1
"650","OTU_19","OR459737.1",1
"651","OTU_19","OR459739.1",1
"652","OTU_19","OR459740.1",1
"653","OTU_19","OR459741.1",1
"654","OTU_19","OR459744.1",1
"655","OTU_19","OR459745.1",1
"656","OTU_19","OR459747.1",1
"657","OTU_19","OR459748.1",1
"658","OTU_19","OR459749.1",1
"659","OTU_19","OR459751.1",1
"660","OTU_19","OR459755.1",1
"661","OTU_19","OR459757.1",1
"662","OTU_19","OR459761.1",1
"663","OTU_19","OR459763.1",1
"664","OTU_19","OR459769.1",1
"665","OTU_19","OZ245276.1",1
"666","OTU_19","OZ245277.1",1
"667","OTU_19","OZ245281.1",1
"668","OTU_19","OZ245288.1",1
"669","OTU_19","OZ245289.1",1
"670","OTU_19","OZ245290.1",1
"671","OTU_19","OZ245295.1",1
"672","OTU_19","OZ245300.1",1
"673","OTU_19","OZ245303.1",1
"674","OTU_19","OZ245304.1",1
"675","OTU_19","OZ245308.1",1
"676","OTU_19","OZ245311.1",1
"677","OTU_19","OZ245313.1",1
"678","OTU_19","OZ245315.1",1
"679","OTU_19","OZ245316.1",1
"680","OTU_19","OZ245321.1",1
"681","OTU_190","NC_068695.1",1
"682","OTU_190","ON746674.1",1
"683","OTU_191","MF893916.1",1
"684","OTU_191","MW090143.1",1
"685","OTU_191","MW090144.1",1
"686","OTU_191","NC_023795.1",1
"687","OTU_191","OQ199570.1",1
"688","OTU_193","XM_071196912.1",1
"689","OTU_193","XM_071196913.1",1
"690","OTU_194","AY360309.1",1
"691","OTU_2","EF545567.1",1
"692","OTU_2","EF545592.1",1
"693","OTU_2","JF810353.1",1
"694","OTU_2","JF810354.1",1
"695","OTU_2","JF810355.1",1
"696","OTU_2","JF810356.1",1
"697","OTU_2","JF810357.1",1
"698","OTU_2","JF810359.1",1
"699","OTU_2","JF810360.1",1
"700","OTU_2","JF810361.1",1
"701","OTU_2","JF810366.1",1
"702","OTU_2","JF810367.1",1
"703","OTU_2","JF810368.1",1
"704","OTU_2","JF810370.1",1
"705","OTU_2","JF810371.1",1
"706","OTU_2","JF810372.1",1
"707","OTU_2","JN714131.1",1
"708","OTU_2","JN714133.1",1
"709","OTU_2","JN714139.1",1
"710","OTU_2","MG250542.1",1
"711","OTU_2","MG725631.1",1
"712","OTU_2","MZ521005.1",1
"713","OTU_2","NC_039090.1",1
"714","OTU_2","PP763953.1",1
"715","OTU_2","PP763955.1",1
"716","OTU_20","PQ863003.1",1
"717","OTU_208","XM_023064243.2",1
"718","OTU_208","XM_023064244.2",1
"719","OTU_21","MN647518.1",1
"720","OTU_21","NC_066800.1",1
"721","OTU_213","XM_017931357.1",1
"722","OTU_213","XM_023454565.1",1
"723","OTU_22","LC742379.1",1
"724","OTU_22","MN488587.1",1
"725","OTU_22","MN756622.1",1
"726","OTU_22","MT186704.1",1
"727","OTU_22","MT186706.1",1
"728","OTU_22","MT186708.1",1
"729","OTU_22","MT186711.1",1
"730","OTU_22","MT186714.1",1
"731","OTU_22","MT186721.1",1
"732","OTU_22","MT186723.1",1
"733","OTU_22","MT186726.1",1
"734","OTU_22","MT186727.1",1
"735","OTU_22","MT186728.1",1
"736","OTU_22","MT186731.1",1
"737","OTU_22","MT186732.1",1
"738","OTU_22","MT186735.1",1
"739","OTU_22","MT186736.1",1
"740","OTU_22","MT186737.1",1
"741","OTU_22","MT186738.1",1
"742","OTU_22","MT186739.1",1
"743","OTU_22","MT237604.1",1
"744","OTU_22","MT237605.1",1
"745","OTU_22","MT237606.1",1
"746","OTU_22","MT237608.1",1
"747","OTU_22","MT237610.1",1
"748","OTU_22","MT237611.1",1
"749","OTU_22","MT237612.1",1
"750","OTU_22","MT237613.1",1
"751","OTU_22","MT237614.1",1
"752","OTU_22","MT237615.1",1
"753","OTU_22","MT237621.1",1
"754","OTU_22","MT237622.1",1
"755","OTU_22","MT237626.1",1
"756","OTU_22","MT237630.1",1
"757","OTU_22","MT237631.1",1
"758","OTU_22","MT237632.1",1
"759","OTU_22","MT942706.1",1
"760","OTU_22","MT954916.1",1
