"","qseid","sseqid","sscinames","sskingdoms","pident","length","mismatch","qstart","qend","sstart","ssend","evalue","bitscore","score"
"40","OTU_1326","gi|1043092397|gb|KU308543.1|","Pan troglodytes troglodytes","Eukaryota",98,100,2,1,100,518,617,2.63e-39,174,94
"41","OTU_1326","gi|1043092467|gb|KU308548.1|","Pan troglodytes verus","Eukaryota",98,100,2,1,100,516,615,2.63e-39,174,94
"42","OTU_1326","gi|51127249|emb|AJ627524.1|","Pan troglodytes;Pan troglodytes schweinfurthii;Pan troglodytes troglodytes","Eukaryota",98,100,2,1,100,3,102,2.63e-39,174,94
"43","OTU_1352","gi|2531936751|emb|OY253754.1|","Oxytorus armatus","Eukaryota",83.505,97,16,2,98,16853703,16853799,2.64e-14,91.6,49
"44","OTU_1358","gi|1268891829|gb|MF893895.1|","Macaca fascicularis","Eukaryota",98.98,98,1,1,98,510,607,7.09e-40,176,95
"45","OTU_1358","gi|1846470054|dbj|LC536645.1|","Macaca fascicularis aureus","Eukaryota",98.98,98,1,1,98,1036,1133,7.09e-40,176,95
"46","OTU_1358","gi|34305179|gb|AY360267.1|","Macaca mulatta","Eukaryota",98.98,98,1,1,98,3,100,7.09e-40,176,95
"47","OTU_1358","gi|1409484138|gb|MH538951.1|","Macaca radiata","Eukaryota",98.98,98,1,1,98,29,126,7.09e-40,176,95
"48","OTU_137","gi|1476682358|gb|MH918135.1|","Squalius cephalus","Eukaryota",100,100,0,1,100,443,542,1.22e-42,185,100
"49","OTU_1382","gi|1790166327|dbj|AP006779.1|","Aulichthys japonicus","Eukaryota",98.99,99,1,1,99,512,610,2e-40,178,96
"50","OTU_1382","gi|1843471762|gb|MT484057.1|","Gasterosteus aculeatus","Eukaryota",98.99,99,1,1,99,3,101,2e-40,178,96
"51","OTU_1382","gi|2442103830|dbj|LC753474.1|","Gasterosteus aculeatus aculeatus","Eukaryota",98.99,99,1,1,99,445,543,2e-40,178,96
"52","OTU_1382","gi|1823804135|dbj|LC533126.1|","Gasterosteus aculeatus microcephalus","Eukaryota",98.99,99,1,1,99,433,531,2e-40,178,96
"53","OTU_1382","gi|725542148|gb|KM273828.1|","Gasterosteus aculeatus williamsoni","Eukaryota",98.99,99,1,1,99,2,100,2e-40,178,96
"54","OTU_1382","gi|1918447993|dbj|LC579395.1|","Gasterosteus nipponicus","Eukaryota",98.99,99,1,1,99,343,441,2e-40,178,96
"55","OTU_1384","gi|2551487955|ref|XM_058373994.1|","Hemibagrus wyckioides","Eukaryota",91.111,90,8,1,90,1118,1207,9.81e-24,122,66
"56","OTU_1393","gi|2397967406|emb|OX384548.1|","Neoitamus cyanurus","Eukaryota",88.75,80,9,1,80,8478215,8478136,1.6e-16,99,53
"57","OTU_1394","gi|2028180812|ref|XM_040852021.1|","Aspergillus sydowii CBS 593.65","Eukaryota",94.118,85,5,1,85,1038,1122,4.46e-26,130,70
"58","OTU_142","gi|2634424561|gb|CP139521.1|","Homo sapiens","Eukaryota",100,100,0,1,100,3700326,3700227,1.22e-42,185,100
"59","OTU_1422","gi|57336142|emb|AJ842846.1|","Macaca mulatta","Eukaryota",100,100,0,1,100,3,102,1.22e-42,185,100
"60","OTU_1434","gi|1279731426|ref|XM_023054646.1|","Onthophagus taurus","Eukaryota",93.976,83,5,7,89,1102,1184,6.23e-25,126,68
"61","OTU_1436","gi|1279731758|ref|XM_023054824.1|","Onthophagus taurus","Eukaryota",85,80,10,5,83,458,536,4.38e-11,80.5,43
"62","OTU_144","gi|2325479101|gb|ON746674.1|","Tupaia glis","Eukaryota",98.99,99,1,1,99,506,604,2e-40,178,96
"63","OTU_1442","gi|2672450421|emb|OY998119.1|","Agrilus biguttatus","Eukaryota",83.333,96,8,2,89,11859150,11859245,1.37e-11,82.4,44
"64","OTU_1447","gi|2370816287|gb|OP931534.1|","Phoxinus csikii","Eukaryota",99.01,101,1,1,101,204,304,1.6e-41,182,98
"65","OTU_1447","gi|2370816316|gb|OP931548.1|","Phoxinus septimaniae","Eukaryota",99.01,101,1,1,101,204,304,1.6e-41,182,98
"66","OTU_1447","gi|2370816217|gb|OP931499.1|","Phoxinus septimaniae;Phoxinus csikii","Eukaryota",99.01,101,1,1,101,204,304,1.6e-41,182,98
"67","OTU_1469","gi|2547927824|emb|OY294071.1|","Endomychus coccineus","Eukaryota",81.651,109,16,3,108,13781574,13781681,3.9e-13,87.9,47
"68","OTU_1476","gi|2040323284|emb|OU015630.1|","Zeuzera pyrina","Eukaryota",96.117,103,4,1,103,23735211,23735109,1.28e-37,169,91
"69","OTU_1503","gi|21326043|gb|AF502307.1|","Macaca mulatta","Eukaryota",97.98,99,2,1,99,3,101,9.32e-39,172,93
"70","OTU_1537","gi|2290203292|emb|OX291558.1|","Apoda limacodes","Eukaryota",84.783,92,11,7,95,5976147,5976056,9.51e-14,89.8,48
"71","OTU_158","gi|2634424567|gb|CP139526.1|","Homo sapiens","Eukaryota",100,100,0,1,100,23211988,23212087,1.22e-42,185,100
"72","OTU_1593","gi|1279725812|ref|XM_023051753.1|","Onthophagus taurus","Eukaryota",88.75,80,9,1,80,332,411,1.14e-16,99,53
"73","OTU_16","gi|1775604709|gb|MN057619.1|","Channa striata","Eukaryota",100,99,0,1,99,3,101,4.31e-42,183,99
"74","OTU_160","gi|2634424566|gb|CP139525.1|","Homo sapiens","Eukaryota",100,94,0,1,94,60684335,60684242,2.39e-39,174,94
"75","OTU_1607","gi|2452980451|emb|OX439456.1|","Scotopteryx bipunctaria","Eukaryota",96.842,95,3,1,95,8931720,8931814,7.03e-35,159,86
"76","OTU_162","gi|1057715987|gb|KX694584.1|","Calamaria pavimentata","Eukaryota",93.75,96,6,1,96,3,98,1.94e-30,145,78
"77","OTU_162","gi|1650258424|gb|MK065526.1|","Calamaria septentrionalis","Eukaryota",93.75,96,6,1,96,3,98,1.94e-30,145,78
"78","OTU_162","gi|1057715975|gb|KX694572.1|","Calamaria yunnanensis","Eukaryota",93.75,96,6,1,96,13,108,1.94e-30,145,78
"79","OTU_164","gi|1279716106|ref|XM_023046695.1|","Onthophagus taurus","Eukaryota",98.851,87,1,1,87,748,834,7.65e-34,156,84
"80","OTU_1640","gi|2646711713|emb|OY992895.1|","Cepaea hortensis","Eukaryota",90.426,94,8,2,94,25900016,25899923,9.67e-24,122,66
"81","OTU_1654","gi|2623897657|emb|OY796665.1|","Rhagium mordax","Eukaryota",88.889,81,7,1,81,23034019,23033941,1.28e-16,99,53
"82","OTU_1692","gi|1279718202|ref|XM_023047810.1|","Onthophagus taurus","Eukaryota",90.426,94,9,1,94,1157,1250,2.52e-24,124,67
"83","OTU_17","gi|1559952517|gb|KY410900.1|","Callosciurus notatus","Eukaryota",100,99,0,1,99,516,614,4.31e-42,183,99
"84","OTU_1725","gi|2392476428|emb|OX383288.1|","Dryobota labecula","Eukaryota",92.593,81,6,18,98,589879,589959,4.36e-22,117,63
"85","OTU_1725","gi|2672230673|emb|OZ012558.1|","Schoenobius gigantella","Eukaryota",92.593,81,6,18,98,2397051,2397131,4.36e-22,117,63
"86","OTU_173","gi|37545290|gb|AY121991.1|","Tragulus javanicus","Eukaryota",99,100,1,1,100,446,545,5.66e-41,180,97
"87","OTU_1783","gi|2551372078|emb|OY390731.1|","Geotrupes spiniger","Eukaryota",90.123,81,8,5,85,10054364,10054284,7.67e-19,106,57
"88","OTU_179","gi|1559953268|gb|KY410953.1|","Sundasciurus tenuis","Eukaryota",100,99,0,1,99,524,622,4.31e-42,183,99
"89","OTU_1795","gi|2663407928|emb|OZ004727.1|","Dexiosoma caninum","Eukaryota",99.065,107,1,1,107,27171106,27171212,7.92e-45,193,104
"90","OTU_1795","gi|2472100860|emb|OX456528.1|","Eustalomyia histrio","Eukaryota",99.065,107,1,1,107,697541,697647,7.92e-45,193,104
"91","OTU_1795","gi|2191756833|emb|OV815328.1|","Gymnoscelis rufifasciata","Eukaryota",99.065,107,1,1,107,2716112,2716218,7.92e-45,193,104
"92","OTU_1795","gi|2582879714|emb|OY740722.1|","Hydrotaea diabolus","Eukaryota",99.065,107,1,1,107,4840526,4840420,7.92e-45,193,104
"93","OTU_1795","gi|2616777456|emb|OY755143.1|","Lymantria dispar","Eukaryota",99.065,107,1,1,107,4717569,4717463,7.92e-45,193,104
"94","OTU_1795","gi|2381809660|emb|OX377614.1|","Thelaira solivaga","Eukaryota",99.065,107,1,1,107,30113326,30113220,7.92e-45,193,104
"95","OTU_1801","gi|2560372124|emb|OY720425.1|","Melanotus villosus","Eukaryota",94.382,89,5,1,89,31321093,31321181,3.45e-28,137,74
"96","OTU_1801","gi|2673090954|emb|OZ014496.1|","Xestobium rufovillosum","Eukaryota",94.382,89,5,1,89,18632644,18632556,3.45e-28,137,74
"97","OTU_185","gi|1139379242|dbj|AP012948.1|","Rastrelliger kanagurta","Eukaryota",98.99,99,1,1,99,516,614,2e-40,178,96
"98","OTU_1850","gi|2290159531|emb|OX276458.1|","Cryptocephalus moraei","Eukaryota",96.552,87,3,1,87,22276421,22276507,1.66e-30,145,78
"99","OTU_186","gi|21326093|gb|AF502357.1|","Macaca mulatta","Eukaryota",100,99,0,1,99,3,101,4.31e-42,183,99
"100","OTU_189","gi|1325803888|dbj|AP017956.1|","Encrasicholina punctifer","Eukaryota",100,99,0,1,99,516,614,4.31e-42,183,99
"101","OTU_191","gi|22347507|gb|AF417341.1|","Sardinella hualiensis","Eukaryota",100,99,0,1,99,447,545,4.31e-42,183,99
"102","OTU_193","gi|21326103|gb|AF502367.1|","Macaca mulatta","Eukaryota",98,100,2,1,100,3,102,2.63e-39,174,94
"103","OTU_197","gi|1476682348|gb|MH918125.1|","Barbus barbus","Eukaryota",100,100,0,1,100,442,541,1.22e-42,185,100
"104","OTU_2","gi|2624665268|gb|OR187300.1|","Gallus gallus","Eukaryota",100,102,0,1,102,529,630,9.68e-44,189,102
"105","OTU_2","gi|2210350650|gb|OM634640.1|","Gallus gallus spadiceus","Eukaryota",100,102,0,1,102,14363,14464,9.68e-44,189,102
"106","OTU_2","gi|2320178295|gb|OP699678.1|","Triatoma melanica","Eukaryota",100,102,0,1,102,30,131,9.68e-44,189,102
"107","OTU_200","gi|21326055|gb|AF502319.1|","Macaca mulatta","Eukaryota",100,100,0,1,100,3,102,1.22e-42,185,100
"108","OTU_203","gi|1841708569|gb|MK333401.1|","Trichiurus lepturus","Eukaryota",100,100,0,1,100,520,619,1.22e-42,185,100
"109","OTU_2081","gi|1279714327|ref|XM_023045850.1|","Onthophagus taurus","Eukaryota",87.912,91,11,3,93,10528,10618,2.42e-19,108,58
"110","OTU_212","gi|2634424563|gb|CP139522.1|","Homo sapiens","Eukaryota",100,100,0,1,100,59096258,59096159,1.22e-42,185,100
"111","OTU_2163","gi|1279712014|ref|XM_023044656.1|","Onthophagus taurus","Eukaryota",91.011,89,8,1,89,649,561,3.21e-23,121,65
"112","OTU_217","gi|2634358153|gb|CP139545.1|","Homo sapiens","Eukaryota",100,100,0,1,100,30830307,30830208,1.22e-42,185,100
"113","OTU_2184","gi|2513058625|emb|OX638143.1|","Othius punctulatus","Eukaryota",98.039,102,2,1,102,69262391,69262290,2.1e-40,178,96
"114","OTU_221","gi|2152015657|gb|OK539643.1|","Babyrousa babyrussa","Eukaryota",100,98,0,2,99,520,617,1.55e-41,182,98
"115","OTU_2216","gi|1279708966|ref|XM_023064782.1|","Onthophagus taurus","Eukaryota",95.789,95,3,1,95,662,569,1.14e-32,152,82
"116","OTU_23","gi|219878028|gb|FJ151336.1|","Galeopterus variegatus peninsulae","Eukaryota",100,98,0,3,100,1,98,1.57e-41,182,98
"117","OTU_234","gi|21326062|gb|AF502326.1|","Macaca mulatta","Eukaryota",99,100,1,1,100,3,102,5.66e-41,180,97
"118","OTU_235","gi|2440437192|emb|OX421882.1|","Cetonia aurata","Eukaryota",92.135,89,3,6,94,66340645,66340561,1.08e-23,122,66
"119","OTU_2382","gi|2673090966|emb|OZ014508.1|","Aphodius sticticus","Eukaryota",91.765,85,7,1,85,39978005,39978089,9.66e-23,119,64
"120","OTU_2389","gi|772105169|gb|AC256229.1|","Homo sapiens","Eukaryota",99,100,1,1,100,72754,72655,5.66e-41,180,97
"121","OTU_2394","gi|17155087|gb|AC097526.3|","Homo sapiens","Eukaryota",100,100,0,1,100,56596,56497,1.22e-42,185,100
"122","OTU_2444","gi|2415277908|emb|OX388311.1|","Athripsodes cinereus","Eukaryota",95.283,106,5,1,106,11799021,11799126,1.39e-37,169,91
"123","OTU_2444","gi|2672229520|emb|OZ012552.1|","Schoenobius gigantella","Eukaryota",95.283,106,5,1,106,7698650,7698545,1.39e-37,169,91
"124","OTU_2444","gi|2452980451|emb|OX439456.1|","Scotopteryx bipunctaria","Eukaryota",95.283,106,5,1,106,8931720,8931825,1.39e-37,169,91
"125","OTU_2462","gi|2673090957|emb|OZ014499.1|","Xestobium rufovillosum","Eukaryota",90.099,101,9,3,103,24241578,24241479,6.04e-26,130,70
"126","OTU_248","gi|2634424567|gb|CP139526.1|","Homo sapiens","Eukaryota",93.269,104,3,1,104,19392922,19393021,4.7e-32,150,81
"127","OTU_2480","gi|2076208726|emb|OU452199.1|","Apoderus coryli","Eukaryota",85.366,82,6,1,82,8066038,8066113,4.56e-11,80.5,43
"128","OTU_2495","gi|2545628611|emb|OY284493.1|","Ctenicera cuprea","Eukaryota",85.714,98,14,8,105,44538345,44538248,3.82e-18,104,56
"129","OTU_2517","gi|21326056|gb|AF502320.1|","Macaca mulatta","Eukaryota",99,100,1,1,100,3,102,5.66e-41,180,97
"130","OTU_2595","gi|2672450506|emb|OY998184.1|","Galeruca laticollis","Eukaryota",88.182,110,8,1,105,61768976,61768867,8.49e-25,126,68
"131","OTU_2595","gi|2560331458|emb|OY720426.1|","Melanotus villosus","Eukaryota",88.182,110,8,1,105,20135958,20135849,8.49e-25,126,68
"132","OTU_260","gi|1547030261|ref|NG_011805.2|","Homo sapiens","Eukaryota",100,100,0,1,100,767525,767624,1.22e-42,185,100
"133","OTU_2619","gi|2547927824|emb|OY294071.1|","Endomychus coccineus","Eukaryota",85.321,109,14,3,110,13781574,13781681,2.38e-20,111,60
"134","OTU_2621","gi|2268687653|emb|OX155897.1|","Phosphuga atrata","Eukaryota",94,100,4,1,99,37684243,37684145,4.43e-32,150,81
"135","OTU_2647","gi|2231841732|emb|OW285244.1|","Melolontha melolontha","Eukaryota",85.849,106,12,2,106,24187144,24187041,8.21e-20,110,59
"136","OTU_265","gi|21326037|gb|AF502301.1|","Macaca mulatta;Macaca maura","Eukaryota",100,96,0,1,96,3,98,1.91e-40,178,96
"137","OTU_2651","gi|2231841732|emb|OW285244.1|","Melolontha melolontha","Eukaryota",89.908,109,11,2,110,32697233,32697341,3.03e-29,141,76
"138","OTU_268","gi|295809508|emb|FN674059.1|","Homo sapiens","Eukaryota",100,100,0,1,100,254,353,1.22e-42,185,100
"139","OTU_272","gi|15384727|emb|AL355887.4|","Homo sapiens","Eukaryota",100,100,0,1,100,68119,68020,1.22e-42,185,100
"140","OTU_2734","gi|2560331458|emb|OY720426.1|","Melanotus villosus","Eukaryota",92.593,108,7,4,110,7700325,7700432,3.9e-33,154,83
"141","OTU_2734","gi|2673090960|emb|OZ014502.1|","Xestobium rufovillosum","Eukaryota",92.593,108,7,4,110,20482742,20482635,3.9e-33,154,83
"142","OTU_2772","gi|2095609975|emb|OU611950.1|","Sesia apiformis","Eukaryota",84.615,104,14,1,103,11747482,11747380,1.32e-17,102,55
"143","OTU_278","gi|28208191|dbj|AB090039.1|","Heosemys grandis","Eukaryota",100,101,0,1,101,3,103,3.43e-43,187,101
"144","OTU_279","gi|1547044249|ref|NG_016423.2|","Homo sapiens","Eukaryota",100,100,0,1,100,306186,306087,1.22e-42,185,100
"145","OTU_2873","gi|1268893135|gb|MF893989.1|","Macaca fascicularis","Eukaryota",100,96,0,4,99,513,608,2e-40,178,96
"146","OTU_2883","gi|17065898|emb|Z80107.2|","Homo sapiens","Eukaryota",100,100,0,1,100,47441,47540,1.22e-42,185,100
"147","OTU_290","gi|1002164196|ref|NC_029426.1|","Leuciscus burdigalensis","Eukaryota",100,100,0,1,100,520,619,1.22e-42,185,100
"148","OTU_290","gi|2248499890|ref|NC_063524.1|","Leuciscus idus","Eukaryota",100,100,0,1,100,519,618,1.22e-42,185,100
"149","OTU_290","gi|2370816032|gb|OP931409.1|","Leuciscus leuciscus","Eukaryota",100,100,0,1,100,204,303,1.22e-42,185,100
"150","OTU_290","gi|1002164182|ref|NC_029425.1|","Leuciscus oxyrrhis","Eukaryota",100,100,0,1,100,520,619,1.22e-42,185,100
"151","OTU_2977","gi|2106370045|gb|MW364567.1|","Otus lettia","Eukaryota",99.029,103,1,1,103,535,637,1.27e-42,185,100
"152","OTU_298","gi|17155087|gb|AC097526.3|","Homo sapiens","Eukaryota",92.784,97,7,3,99,56594,56498,2.67e-29,141,76
"153","OTU_299","gi|14575376|emb|AL590407.8|","Homo sapiens","Eukaryota",100,99,0,1,99,28562,28660,4.31e-42,183,99
"154","OTU_3004","gi|2211212123|emb|OW121703.1|","Lasioglossum pauxillum","Eukaryota",92.079,101,8,1,101,27338337,27338437,7.76e-30,143,77
"155","OTU_3009","gi|2231841732|emb|OW285244.1|","Melolontha melolontha","Eukaryota",87.368,95,12,4,98,17601470,17601376,7.3e-20,110,59
"156","OTU_3040","gi|146419009|ref|XM_001485420.1|","Meyerozyma guilliermondii ATCC 6260","Eukaryota",100,89,0,1,89,1635,1723,1.32e-36,165,89
"157","OTU_3099","gi|2452980451|emb|OX439456.1|","Scotopteryx bipunctaria","Eukaryota",93.75,96,6,1,96,8931720,8931815,1.94e-30,145,78
"158","OTU_31","gi|1559953801|gb|KY410991.1|","Rhinosciurus laticaudatus","Eukaryota",98.99,99,1,1,99,500,598,2e-40,178,96
"159","OTU_3197","gi|1808626632|gb|MT048590.1|","Sus scrofa","Eukaryota",100,97,0,2,98,32,128,5.57e-41,180,97
"160","OTU_3197","gi|1356588158|gb|MG725632.1|","Sus scrofa cristatus","Eukaryota",100,97,0,2,98,962,1058,5.57e-41,180,97
"161","OTU_3197","gi|1024249785|gb|KT965278.1|","Sus scrofa domesticus","Eukaryota",100,97,0,2,98,1107,1203,5.57e-41,180,97
"162","OTU_3197","gi|757173677|gb|KP301137.1|","Sus scrofa scrofa","Eukaryota",100,97,0,2,98,517,613,5.57e-41,180,97
"163","OTU_3197","gi|2430244314|gb|OQ303842.1|","Sus scrofa taivanus","Eukaryota",100,97,0,2,98,446,542,5.57e-41,180,97
"164","OTU_3197","gi|223976078|ref|NC_012095.1|","Sus scrofa;Sus scrofa domesticus","Eukaryota",100,97,0,2,98,516,612,5.57e-41,180,97
"165","OTU_3197","gi|695275196|gb|KJ192444.1|","Sus scrofa;Thryonomys swinderianus","Eukaryota",100,97,0,2,98,2,98,5.57e-41,180,97
"166","OTU_3197","gi|983212057|gb|KU254274.1|","vertebrate environmental sample","Eukaryota",100,97,0,2,98,2,98,5.57e-41,180,97
"167","OTU_320","gi|21326074|gb|AF502338.1|","Macaca mulatta","Eukaryota",100,100,0,1,100,3,102,1.22e-42,185,100
"168","OTU_3202","gi|2560331525|emb|OY720427.1|","Melanotus villosus","Eukaryota",95.283,106,5,1,106,15314321,15314216,1.34e-37,169,91
"169","OTU_321","gi|21326034|gb|AF502298.1|","Macaca mulatta","Eukaryota",100,100,0,1,100,3,102,1.22e-42,185,100
"170","OTU_3285","gi|2268692367|emb|OX155904.1|","Phosphuga atrata","Eukaryota",93.407,91,4,18,107,20954846,20954935,4.87e-27,134,72
"171","OTU_3311","gi|2085881592|emb|OU565287.1|","Sphecodes monilicornis","Eukaryota",95.699,93,4,1,93,23988512,23988604,4.3e-32,150,81
"172","OTU_332","gi|21326081|gb|AF502345.1|","Macaca mulatta","Eukaryota",99.01,101,0,1,101,3,102,5.74e-41,180,97
"173","OTU_3341","gi|2268691800|emb|OX155968.1|","Micropterix aruncella","Eukaryota",89.157,83,9,11,93,12884390,12884472,3.13e-18,104,56
"174","OTU_340","gi|57336146|emb|AJ842850.1|","Macaca mulatta","Eukaryota",99,100,1,1,100,3,102,5.66e-41,180,97
"175","OTU_3439","gi|1279579848|gb|MG196309.1|","Manis javanica","Eukaryota",100,100,0,1,100,518,617,1.22e-42,185,100
"176","OTU_3489","gi|2560371753|emb|OY720424.1|","Melanotus villosus","Eukaryota",93.103,87,6,1,87,19422551,19422637,1.67e-25,128,69
"177","OTU_35","gi|2493709167|gb|OQ674796.1|","Bos grunniens x Bos taurus","Eukaryota",100,100,0,1,100,871,970,1.22e-42,185,100
"178","OTU_35","gi|2512246179|gb|OQ736776.1|","Bos indicus","Eukaryota",100,100,0,1,100,777,876,1.22e-42,185,100
"179","OTU_35","gi|2644582918|gb|OQ160855.1|","Bos primigenius","Eukaryota",100,100,0,1,100,870,969,1.22e-42,185,100
"180","OTU_35","gi|2656632396|gb|PP155642.1|","Bos taurus","Eukaryota",100,100,0,1,100,871,970,1.22e-42,185,100
"181","OTU_3523","gi|2211212578|emb|OW121706.1|","Lasioglossum pauxillum","Eukaryota",92.391,92,5,1,91,26447747,26447657,4.99e-26,130,70
"182","OTU_3598","gi|1961335566|gb|MW524740.1|","Homo sapiens","Eukaryota",96,100,4,1,100,23,122,5.7e-36,163,88
"183","OTU_364","gi|1200165629|gb|KY471456.1|","Otus scops","Eukaryota",99.029,103,1,1,103,538,640,1.27e-42,185,100
"184","OTU_364","gi|1610617534|ref|NC_041422.1|","Otus sunia","Eukaryota",99.029,103,1,1,103,538,640,1.27e-42,185,100
"185","OTU_3679","gi|2560366808|emb|OY720457.1|","Harpalus rubripes","Eukaryota",91.176,102,6,2,102,40789882,40789981,1.28e-27,135,73
"186","OTU_372","gi|21622682|gb|AC104629.10|","Homo sapiens","Eukaryota",100,100,0,1,100,90205,90106,1.22e-42,185,100
